pk,user_fk,status,purchase_amount,tax_amount,total_amount,created_at,updated_at
87,9391,complete,2018.18,126.14,2144.32,2021-07-06 23:28:12,2021-07-14 03:54:41 UTC
88,6490,complete,638.04,39.88,677.92,2022-02-20 6:59:04,2022-02-25 18:50:26 UTC
90,631,complete,558.00,34.88,592.88,2022-02-14 16:47:10,2022-02-21 03:38:36 UTC
91,12456,complete,927.20,57.95,985.15,2021-02-20 11:03:00,2021-02-24 03:38:30 UTC
92,2845,complete,668.23,41.76,709.99,2022-03-12 2:53:23,2022-03-14 14:08:14 UTC
93,8701,complete,2293.32,143.33,2436.65,2022-02-24 13:35:13,2022-03-09 04:36:27 UTC
94,4524,complete,471.54,29.47,501.01,2021-03-10 15:41:00,2021-03-22 22:59:56 UTC
95,10861,complete,387.12,24.20,411.32,2021-01-09 23:20:03,2021-01-13 07:19:26 UTC
96,5237,complete,1325.16,82.82,1407.98,2021-07-22 6:43:30,2021-07-29 11:14:40 UTC
97,11494,complete,541.50,33.84,575.34,2021-08-22 14:54:20,2021-08-28 19:02:12 UTC
98,876,complete,579.32,36.21,615.53,2022-02-08 22:33:36,2022-02-14 22:03:50 UTC
99,879,complete,550.13,34.38,584.51,2021-10-26 10:23:14,2021-11-02 07:12:19 UTC
100,5667,complete,110.72,6.92,117.64,2021-11-28 0:55:22,2021-12-05 00:23:28 UTC
101,272,complete,70.80,4.43,75.23,2022-01-15 12:37:28,2022-01-18 02:23:38 UTC
102,5669,complete,1300.23,81.26,1381.49,2021-02-13 17:22:33,2021-02-22 04:54:37 UTC
103,8647,complete,1049.31,65.58,1114.89,2021-11-07 3:23:30,2021-11-14 04:32:05 UTC
104,5770,complete,470.44,29.40,499.84,2021-06-24 9:04:24,2021-06-28 10:12:46 UTC
105,2641,complete,1392.44,87.03,1479.47,2021-08-17 3:29:06,2021-08-21 20:24:14 UTC
106,9028,complete,838.82,52.43,891.25,2022-02-22 15:05:18,2022-02-25 22:17:15 UTC
107,3599,complete,2048.01,128.00,2176.01,2021-03-19 6:47:21,2021-03-28 13:04:20 UTC
110,5553,complete,466.77,29.17,495.94,2021-10-05 23:37:37,2021-10-18 11:05:52 UTC
111,9415,complete,1003.19,62.70,1065.89,2021-11-21 0:01:09,2021-12-03 18:18:48 UTC
112,6181,complete,1522.70,95.17,1617.87,2021-01-12 7:58:21,2021-01-17 12:18:11 UTC
113,8994,complete,8.78,0.55,9.33,2022-01-19 9:32:44,2022-02-01 13:36:07 UTC
114,10046,complete,579.16,36.20,615.36,2021-09-10 6:48:34,2021-09-16 05:55:32 UTC
115,4515,complete,785.81,49.11,834.92,2021-03-22 23:44:26,2021-03-31 19:31:44 UTC
116,11113,complete,90.64,5.67,96.31,2021-05-28 15:56:45,2021-06-08 06:25:06 UTC
117,12851,complete,1441.62,90.10,1531.72,2021-05-15 23:12:36,2021-05-22 21:19:51 UTC
118,5863,complete,715.25,44.70,759.95,2021-10-15 3:46:50,2021-10-20 15:03:26 UTC
119,9812,complete,1494.57,93.41,1587.98,2021-03-04 9:58:17,2021-03-11 09:50:04 UTC
120,9366,complete,1878.78,117.42,1996.20,2021-06-06 17:04:12,2021-06-18 05:00:33 UTC
121,4767,complete,559.84,34.99,594.83,2021-09-11 10:09:03,2021-09-20 23:30:18 UTC
122,9125,complete,742.30,46.39,788.69,2021-12-21 16:03:13,2021-12-28 01:29:23 UTC
123,619,complete,258.33,16.15,274.48,2021-07-09 23:35:04,2021-07-23 18:14:26 UTC
124,594,complete,1422.30,88.89,1511.19,2021-09-25 8:32:58,2021-10-05 11:25:23 UTC
125,4735,complete,358.65,22.42,381.07,2021-11-19 11:55:32,2021-11-29 04:42:08 UTC
126,12823,complete,418.72,26.17,444.89,2021-07-28 3:06:17,2021-08-05 19:11:06 UTC
128,2649,complete,1730.48,108.16,1838.64,2022-02-23 14:38:16,2022-03-09 13:19:46 UTC
129,6965,complete,1109.80,69.36,1179.16,2021-11-13 0:17:24,2021-11-26 00:25:36 UTC
130,2395,complete,3624.46,226.53,3850.99,2021-02-15 14:19:57,2021-02-26 15:24:58 UTC
131,10198,complete,1718.47,107.40,1825.87,2021-01-15 10:49:08,2021-01-22 09:44:06 UTC
132,6940,complete,278.25,17.39,295.64,2021-05-20 3:53:03,2021-05-23 05:02:41 UTC
133,9743,complete,236.77,14.80,251.57,2021-03-27 3:09:36,2021-04-05 12:12:54 UTC
134,8228,complete,578.22,36.14,614.36,2022-01-13 17:36:16,2022-01-16 15:01:12 UTC
135,8,complete,212.46,13.28,225.74,2021-06-14 23:54:23,2021-06-24 04:27:41 UTC
136,4078,complete,1851.01,115.69,1966.70,2021-05-19 4:53:39,2021-05-30 01:34:42 UTC
137,3459,complete,751.98,47.00,798.98,2021-03-03 3:08:14,2021-03-15 06:11:03 UTC
138,13435,complete,1397.74,87.36,1485.10,2021-03-23 5:16:54,2021-03-25 16:54:49 UTC
139,8691,complete,1300.25,81.27,1381.52,2021-02-20 16:13:00,2021-02-26 12:05:15 UTC
140,7748,complete,129.36,8.09,137.45,2021-11-25 0:12:54,2021-12-04 20:56:19 UTC
141,13016,complete,1798.50,112.41,1910.91,2021-05-03 22:42:05,2021-05-10 09:48:21 UTC
143,549,complete,875.85,54.74,930.59,2022-02-10 17:03:16,2022-02-20 22:41:25 UTC
144,13146,complete,78.94,4.93,83.87,2021-08-11 15:58:19,2021-08-18 05:26:56 UTC
145,12071,complete,121.70,7.61,129.31,2021-10-12 18:15:23,2021-10-17 12:46:29 UTC
146,2433,complete,1379.47,86.22,1465.69,2021-09-25 0:19:06,2021-10-01 16:04:20 UTC
147,6051,complete,33.20,2.08,35.28,2021-05-23 5:06:16,2021-05-30 20:11:28 UTC
148,8484,complete,1149.94,71.87,1221.81,2021-06-23 7:33:37,2021-06-28 03:15:31 UTC
149,6819,pending,624.89,39.06,663.95,2021-05-10 3:07:13,2021-05-18 02:06:21 UTC
150,1931,complete,252.40,15.78,268.18,2021-05-30 15:35:53,2021-06-02 17:34:14 UTC
151,1344,complete,374.60,23.41,398.01,2021-09-27 2:01:29,2021-10-05 11:29:44 UTC
152,3256,complete,927.22,57.95,985.17,2021-12-08 16:13:51,2021-12-21 12:29:02 UTC
153,1985,cancelled,744.26,46.52,790.78,2021-07-23 4:37:33,2021-08-01 08:35:59 UTC
154,8415,complete,213.58,13.35,226.93,2021-06-08 1:52:03,2021-06-12 02:43:35 UTC
155,3117,complete,649.08,40.57,689.65,2021-04-20 1:00:04,2021-05-02 12:43:05 UTC
157,6666,complete,311.17,19.45,330.62,2021-04-26 5:59:36,2021-05-06 08:09:17 UTC
158,10234,complete,27.37,1.71,29.08,2021-10-09 12:42:13,2021-10-19 07:11:35 UTC
159,11594,complete,1561.41,97.59,1659.00,2021-04-14 4:15:20,2021-04-21 14:10:28 UTC
160,3214,complete,1394.58,87.16,1481.74,2021-04-19 8:41:47,2021-05-01 12:47:08 UTC
161,2044,complete,1292.84,80.80,1373.64,2021-06-09 5:25:00,2021-06-21 20:18:46 UTC
162,10794,pending,1545.50,96.59,1642.09,2021-08-22 1:24:42,2021-08-26 04:10:46 UTC
163,5859,complete,174.03,10.88,184.91,2021-12-08 15:27:22,2021-12-22 20:11:38 UTC
164,4156,complete,834.28,52.14,886.42,2021-12-30 18:29:18,2022-01-12 04:32:08 UTC
165,842,complete,1521.42,95.09,1616.51,2021-08-04 15:23:44,2021-08-13 17:04:11 UTC
166,5806,complete,908.83,56.80,965.63,2021-12-09 15:25:02,2021-12-13 10:24:08 UTC
167,13277,complete,483.31,30.21,513.52,2021-01-27 22:31:01,2021-02-03 07:02:36 UTC
168,4829,complete,775.04,48.44,823.48,2021-08-30 5:19:03,2021-09-13 16:33:50 UTC
169,1762,complete,852.07,53.25,905.32,2021-11-26 15:02:10,2021-12-09 15:22:12 UTC
170,5924,complete,286.00,17.88,303.88,2021-08-10 1:31:26,2021-08-14 00:44:25 UTC
171,6992,complete,986.05,61.63,1047.68,2021-07-02 19:46:09,2021-07-05 03:27:05 UTC
173,8586,complete,2675.35,167.21,2842.56,2021-06-13 10:03:28,2021-06-21 23:03:48 UTC
174,4004,complete,382.32,23.90,406.22,2022-02-08 11:45:07,2022-02-11 00:01:23 UTC
175,8763,complete,951.60,59.48,1011.08,2021-07-05 14:24:26,2021-07-13 06:17:33 UTC
176,8706,complete,666.90,41.68,708.58,2021-06-08 17:35:11,2021-06-19 14:55:40 UTC
177,11210,complete,1486.67,92.92,1579.59,2021-10-12 0:15:01,2021-10-21 18:51:21 UTC
178,9075,pending,445.32,27.83,473.15,2021-10-25 3:50:27,2021-10-28 08:42:38 UTC
179,8448,complete,1937.27,121.08,2058.35,2021-04-28 6:52:26,2021-05-11 01:55:14 UTC
180,4107,pending,171.12,10.70,181.82,2021-03-31 14:47:47,2021-04-11 08:44:15 UTC
181,11048,complete,1583.90,98.99,1682.89,2021-12-14 17:30:06,2021-12-18 09:32:12 UTC
182,5035,complete,1066.26,66.64,1132.90,2021-10-23 20:23:23,2021-10-29 00:49:31 UTC
183,4032,complete,767.31,47.96,815.27,2021-12-21 3:58:28,2022-01-01 15:50:40 UTC
184,9741,complete,245.93,15.37,261.30,2022-02-01 12:46:53,2022-02-14 07:17:22 UTC
185,8498,complete,1159.34,72.46,1231.80,2022-01-24 23:00:50,2022-02-02 07:11:03 UTC
186,12109,complete,643.86,40.24,684.10,2022-03-14 10:01:58,2022-03-26 13:01:07 UTC
187,9349,cancelled,1518.81,94.93,1613.74,2022-01-09 19:29:43,2022-01-14 09:10:54 UTC
188,13311,complete,364.23,22.76,386.99,2021-08-17 8:54:27,2021-08-22 18:05:51 UTC
189,3525,complete,100.19,6.26,106.45,2021-07-10 7:28:44,2021-07-20 04:21:45 UTC
190,6066,complete,519.17,32.45,551.62,2021-04-18 12:46:28,2021-04-23 10:32:56 UTC
191,10091,complete,1013.88,63.37,1077.25,2022-01-04 20:37:30,2022-01-15 01:16:05 UTC
192,2016,complete,2228.70,139.29,2367.99,2021-10-08 21:02:07,2021-10-17 12:36:37 UTC
193,7588,complete,1049.82,65.61,1115.43,2021-05-06 2:46:30,2021-05-17 12:36:47 UTC
194,12535,complete,361.60,22.60,384.20,2021-05-06 18:05:20,2021-05-20 02:15:57 UTC
195,10516,complete,1855.33,115.96,1971.29,2021-07-12 4:03:13,2021-07-21 08:51:17 UTC
196,4614,cancelled,928.34,58.02,986.36,2021-08-02 7:35:30,2021-08-09 20:29:47 UTC
197,12019,cancelled,744.22,46.51,790.73,2021-05-22 12:00:52,2021-05-25 23:19:08 UTC
198,3782,pending,831.06,51.94,883.00,2021-11-18 3:34:10,2021-11-21 21:53:44 UTC
200,8108,cancelled,1384.38,86.52,1470.90,2021-05-20 8:46:16,2021-05-26 01:01:28 UTC
201,12901,complete,1828.91,114.31,1943.22,2022-01-04 20:35:42,2022-01-10 12:29:07 UTC
202,8845,complete,1244.74,77.80,1322.54,2021-04-30 0:34:01,2021-05-10 01:24:27 UTC
203,603,complete,512.06,32.00,544.06,2022-02-19 6:00:08,2022-02-26 03:22:15 UTC
204,9056,complete,780.00,48.75,828.75,2021-03-12 12:29:50,2021-03-18 10:57:44 UTC
205,10652,complete,84.78,5.30,90.08,2021-09-04 14:30:03,2021-09-18 13:44:49 UTC
206,12576,complete,862.68,53.92,916.60,2021-02-08 13:58:55,2021-02-21 15:26:42 UTC
207,881,complete,1932.57,120.79,2053.36,2021-12-23 7:26:28,2021-12-27 04:42:48 UTC
208,4825,complete,588.90,36.81,625.71,2022-02-25 8:48:15,2022-03-02 19:04:42 UTC
209,3249,complete,58.27,3.64,61.91,2021-03-05 15:44:05,2021-03-09 10:08:45 UTC
210,38,complete,334.51,20.91,355.42,2021-06-25 16:40:26,2021-06-28 16:06:29 UTC
211,1437,complete,973.35,60.83,1034.18,2021-02-24 4:51:23,2021-03-07 13:46:46 UTC
212,1668,complete,1041.60,65.10,1106.70,2021-02-27 11:23:26,2021-03-07 13:40:27 UTC
213,2055,complete,1335.64,83.48,1419.12,2021-09-28 22:19:37,2021-10-06 14:53:31 UTC
214,1813,complete,1109.84,69.37,1179.21,2022-02-12 11:52:21,2022-02-17 20:29:52 UTC
215,7880,complete,1530.31,95.64,1625.95,2021-03-04 16:51:16,2021-03-07 21:07:39 UTC
217,8747,complete,1525.17,95.32,1620.49,2021-02-16 13:44:58,2021-02-27 16:40:10 UTC
218,2831,complete,619.70,38.73,658.43,2021-08-06 10:54:36,2021-08-13 15:01:02 UTC
219,1040,pending,1929.39,120.59,2049.98,2021-08-12 4:15:31,2021-08-24 06:34:59 UTC
220,11107,complete,461.36,28.84,490.20,2021-04-24 23:32:10,2021-05-01 12:38:40 UTC
221,9577,complete,1296.55,81.03,1377.58,2021-12-08 3:03:37,2021-12-15 08:33:53 UTC
222,2793,complete,968.37,60.52,1028.89,2022-01-04 22:04:36,2022-01-09 21:24:31 UTC
223,11089,complete,757.43,47.34,804.77,2021-09-22 4:16:41,2021-09-25 00:24:48 UTC
224,6129,complete,620.32,38.77,659.09,2022-03-08 9:50:46,2022-03-10 15:25:37 UTC
225,5935,complete,1698.26,106.14,1804.40,2021-06-09 18:42:57,2021-06-17 10:59:48 UTC
226,7334,complete,634.04,39.63,673.67,2021-01-01 12:29:01,2021-01-03 18:41:33 UTC
227,5300,complete,2029.95,126.87,2156.82,2022-01-27 8:07:21,2022-01-31 15:05:50 UTC
228,12887,complete,2986.73,186.67,3173.40,2021-09-28 4:51:54,2021-10-05 22:16:21 UTC
229,9811,complete,560.08,35.01,595.09,2021-11-24 12:18:44,2021-12-05 20:00:17 UTC
230,8934,complete,702.36,43.90,746.26,2021-10-01 1:37:41,2021-10-05 17:32:59 UTC
231,8334,pending,581.88,36.37,618.25,2021-09-28 23:40:35,2021-10-06 17:50:34 UTC
232,873,complete,158.64,9.92,168.56,2021-06-23 23:11:49,2021-07-08 01:55:32 UTC
233,11841,pending,1743.30,108.96,1852.26,2021-06-05 17:23:28,2021-06-18 05:33:14 UTC
234,13045,complete,391.03,24.44,415.47,2021-01-20 21:47:19,2021-01-28 20:00:35 UTC
235,12567,complete,2391.47,149.47,2540.94,2021-08-02 3:40:03,2021-08-08 19:00:52 UTC
236,9598,pending,390.42,24.40,414.82,2021-06-17 10:20:57,2021-06-30 08:54:24 UTC
237,4376,complete,1278.41,79.90,1358.31,2021-07-25 16:36:14,2021-07-28 00:12:14 UTC
238,9930,complete,520.79,32.55,553.34,2021-03-15 16:16:07,2021-03-24 08:06:59 UTC
239,5603,complete,582.40,36.40,618.80,2021-03-06 11:24:24,2021-03-16 11:45:00 UTC
240,1527,complete,1229.94,76.87,1306.81,2021-04-20 1:05:49,2021-04-22 16:30:17 UTC
241,1523,complete,1642.81,102.68,1745.49,2021-11-12 12:31:38,2021-11-15 18:12:07 UTC
242,5841,complete,2470.36,154.40,2624.76,2022-02-24 8:09:38,2022-03-05 05:18:22 UTC
243,10633,complete,272.40,17.03,289.43,2021-03-31 4:59:33,2021-04-07 05:40:54 UTC
244,11534,complete,1289.91,80.62,1370.53,2021-11-10 17:02:12,2021-11-21 20:04:14 UTC
245,121,complete,247.87,15.49,263.36,2021-10-02 14:09:00,2021-10-11 16:35:13 UTC
246,3040,complete,168.42,10.53,178.95,2021-03-16 23:31:44,2021-03-29 09:21:33 UTC
247,2206,complete,132.46,8.28,140.74,2021-02-16 22:27:01,2021-02-23 17:48:42 UTC
248,3233,complete,688.36,43.02,731.38,2021-12-18 15:23:31,2022-01-01 09:07:21 UTC
250,2894,complete,1191.20,74.45,1265.65,2022-02-27 19:22:07,2022-03-06 16:00:36 UTC
251,7964,complete,541.45,33.84,575.29,2021-02-13 20:16:42,2021-02-20 10:41:05 UTC
252,9610,complete,462.20,28.89,491.09,2021-06-09 9:18:02,2021-06-17 18:43:26 UTC
253,7563,complete,2395.19,149.70,2544.89,2021-01-10 14:21:51,2021-01-16 20:36:53 UTC
254,13498,complete,585.09,36.57,621.66,2021-05-24 6:59:36,2021-06-06 15:05:30 UTC
255,156,complete,21.87,1.37,23.24,2022-01-27 13:06:27,2022-01-31 00:14:38 UTC
256,2234,complete,161.90,10.12,172.02,2021-04-16 15:40:48,2021-04-28 01:08:25 UTC
257,7441,complete,451.99,28.25,480.24,2021-10-03 5:30:37,2021-10-17 11:37:39 UTC
259,1105,complete,268.26,16.77,285.03,2022-01-18 13:24:41,2022-01-24 12:14:18 UTC
260,7331,complete,1748.42,109.28,1857.70,2021-04-03 11:41:47,2021-04-12 08:50:22 UTC
261,11944,complete,966.08,60.38,1026.46,2021-10-20 0:35:17,2021-10-23 10:04:05 UTC
262,10097,complete,2437.76,152.36,2590.12,2021-10-20 22:21:57,2021-10-31 11:17:45 UTC
263,5179,complete,1169.72,73.11,1242.83,2022-01-22 13:03:26,2022-01-26 14:00:38 UTC
264,775,complete,2853.28,178.33,3031.61,2021-04-29 14:13:56,2021-05-09 13:14:09 UTC
265,8635,complete,1232.48,77.03,1309.51,2022-01-27 23:22:29,2022-02-08 20:54:00 UTC
266,3638,complete,2067.00,129.19,2196.19,2021-05-15 6:56:43,2021-05-27 19:39:45 UTC
267,8654,complete,1043.12,65.20,1108.32,2021-10-04 6:43:20,2021-10-18 06:48:15 UTC
269,6546,complete,646.52,40.41,686.93,2021-02-01 18:18:26,2021-02-05 20:24:30 UTC
270,2322,complete,298.24,18.64,316.88,2021-05-24 10:48:27,2021-06-02 16:00:54 UTC
271,9221,complete,217.16,13.57,230.73,2021-01-20 15:35:00,2021-01-28 11:58:12 UTC
272,6635,complete,410.90,25.68,436.58,2022-01-07 23:55:24,2022-01-15 02:24:02 UTC
273,54,complete,2362.73,147.67,2510.40,2021-05-24 21:57:54,2021-05-28 02:47:50 UTC
274,6548,complete,468.12,29.26,497.38,2021-08-29 2:16:21,2021-09-05 03:35:12 UTC
275,2779,complete,1581.08,98.82,1679.90,2021-10-23 16:59:15,2021-11-02 06:24:13 UTC
276,8775,complete,702.49,43.91,746.40,2021-09-28 14:12:38,2021-10-05 15:44:00 UTC
277,5584,pending,1058.72,66.17,1124.89,2021-03-26 19:48:13,2021-03-31 08:32:21 UTC
278,10812,complete,4.72,0.30,5.02,2022-02-14 15:48:51,2022-02-23 20:42:39 UTC
279,9561,complete,304.92,19.06,323.98,2021-04-21 17:30:58,2021-05-02 01:42:17 UTC
280,4609,complete,74.99,4.69,79.68,2021-08-05 3:35:29,2021-08-14 01:43:54 UTC
281,3046,complete,1988.16,124.26,2112.42,2021-01-12 20:19:01,2021-01-26 18:13:59 UTC
282,4345,pending,869.03,54.31,923.34,2021-01-26 1:37:46,2021-02-01 13:25:20 UTC
283,9308,complete,209.67,13.10,222.77,2021-12-05 15:13:34,2021-12-18 04:36:35 UTC
285,3323,complete,384.24,24.02,408.26,2021-12-04 21:32:24,2021-12-13 02:38:26 UTC
286,11546,complete,117.54,7.35,124.89,2021-09-17 1:55:47,2021-09-20 04:48:35 UTC
287,4621,complete,1167.64,72.98,1240.62,2022-02-04 12:31:42,2022-02-10 07:17:15 UTC
288,6461,complete,399.68,24.98,424.66,2021-12-13 19:43:31,2021-12-19 18:45:37 UTC
289,6856,complete,763.13,47.70,810.83,2021-01-17 8:51:34,2021-01-20 22:44:40 UTC
290,13466,complete,2506.60,156.66,2663.26,2021-06-25 7:56:19,2021-07-03 17:21:24 UTC
291,5041,complete,1489.73,93.11,1582.84,2021-11-05 12:50:20,2021-11-13 07:24:34 UTC
292,368,complete,350.80,21.93,372.73,2021-05-05 2:41:33,2021-05-17 09:03:39 UTC
293,8493,complete,1506.66,94.17,1600.83,2022-01-19 8:13:20,2022-01-29 11:10:15 UTC
294,10074,complete,695.05,43.44,738.49,2021-07-08 17:47:18,2021-07-22 12:17:19 UTC
295,12839,pending,260.30,16.27,276.57,2021-06-21 14:01:59,2021-06-24 08:18:38 UTC
