pk,profile_id,status,created_at,updated_at
29,89-108-8714,adopted,2021-11-22T10:23:14Z,2021-12-31 10:23:14 UTC
30,66-484-6626,adopted,2021-12-17T22:03:42Z,2022-01-17 22:03:42 UTC
31,62-256-6677,ready for adoption,2021-06-19T20:15:05Z,2021-09-04 20:15:05 UTC
32,49-296-8413,adopted,2022-01-23T01:13:15Z,2022-03-15 01:13:15 UTC
33,00-133-2069,ready for adoption,2021-04-24T01:44:14Z,2021-07-11 01:44:14 UTC
34,27-593-1574,adopted,2021-09-14T22:51:10Z,2021-11-26 22:51:10 UTC
35,02-545-6190,in foster home,2022-01-11T19:45:17Z,2022-02-10 19:45:17 UTC
36,39-773-9615,in quarantine,2021-12-13T09:42:39Z,2021-12-23 09:42:39 UTC
37,40-970-3399,ready for adoption,2021-01-19T23:07:17Z,2021-03-02 23:07:17 UTC
38,51-214-6789,adopted,2022-02-17T22:43:08Z,2022-02-26 22:43:08 UTC
39,07-570-7878,adopted,2021-02-13T22:03:59Z,2021-04-19 22:03:59 UTC
40,66-237-5526,ready for adoption,2022-01-24T22:50:46Z,2022-04-09 22:50:46 UTC
41,01-925-0585,in foster home,2021-04-21T01:02:09Z,2021-05-07 01:02:09 UTC
42,69-224-2294,in quarantine,2021-05-01T14:19:12Z,2021-07-22 14:19:12 UTC
43,73-950-7745,ready for adoption,2021-02-28T03:04:57Z,2021-06-04 03:04:57 UTC
44,88-262-3321,ready for adoption,2021-07-28T01:44:57Z,2021-09-03 01:44:57 UTC
45,69-356-3656,in foster home,2021-07-29T08:29:58Z,2021-08-17 08:29:58 UTC
46,91-607-4876,adopted,2022-02-03T13:23:12Z,2022-05-08 13:23:12 UTC
47,65-890-9593,ready for adoption,2021-03-07T00:37:41Z,2021-04-21 00:37:41 UTC
48,00-044-3166,ready for adoption,2021-05-20T03:40:36Z,2021-08-14 03:40:36 UTC
49,72-820-3731,adopted,2022-02-05T17:47:30Z,2022-03-10 17:47:30 UTC
50,16-938-6440,ready for adoption,2021-02-25T17:13:02Z,2021-04-02 17:13:02 UTC
51,92-276-1492,in foster home,2021-10-05T08:19:21Z,2021-12-22 08:19:21 UTC
52,47-335-8950,ready for adoption,2021-09-10T04:32:59Z,2021-09-25 04:32:59 UTC
53,60-251-5636,adopted,2021-07-02T16:01:04Z,2021-07-09 16:01:04 UTC
54,01-757-7976,ready for adoption,2021-12-10T08:19:53Z,2021-12-19 08:19:53 UTC
55,09-777-9016,adopted,2022-01-02T09:21:14Z,2022-04-05 09:21:14 UTC
56,86-455-4647,in foster home,2021-02-08T21:44:47Z,2021-02-09 21:44:47 UTC
57,71-525-4291,ready for adoption,2022-01-27T12:06:07Z,2022-04-04 12:06:07 UTC
58,16-425-5714,adopted,2021-09-16T02:55:09Z,2021-11-16 02:55:09 UTC
59,90-621-6333,adopted,2021-06-04T14:34:04Z,2021-08-01 14:34:04 UTC
60,75-680-1514,ready for adoption,2021-09-27T09:27:54Z,2021-09-29 09:27:54 UTC
61,28-074-2712,ready for adoption,2021-01-10T11:01:05Z,2021-02-26 11:01:05 UTC
62,39-890-4393,ready for adoption,2021-03-30T08:21:18Z,2021-05-20 08:21:18 UTC
63,22-995-2261,ready for adoption,2021-08-21T00:18:11Z,2021-09-27 00:18:11 UTC
64,65-419-2127,adopted,2021-08-12T20:07:55Z,2021-11-14 20:07:55 UTC
65,74-825-8917,ready for adoption,2022-01-01T03:38:07Z,2022-03-01 03:38:07 UTC
66,29-430-3792,ready for adoption,2021-09-17T17:01:18Z,2021-10-18 17:01:18 UTC
67,62-200-9346,adopted,2021-12-16T00:15:25Z,2022-02-10 00:15:25 UTC
68,00-953-3983,adopted,2021-12-05T05:58:44Z,2021-12-07 05:58:44 UTC
69,03-831-7089,ready for adoption,2021-09-13T05:30:17Z,2021-12-14 05:30:17 UTC
70,92-145-0952,adopted,2021-04-18T19:06:54Z,2021-05-11 19:06:54 UTC
71,75-189-8460,in foster home,2021-08-28T12:45:07Z,2021-11-07 12:45:07 UTC
72,21-921-7254,adopted,2021-05-29T07:21:07Z,2021-06-01 07:21:07 UTC
73,72-387-0880,in quarantine,2021-11-15T15:15:44Z,2021-12-03 15:15:44 UTC
74,45-638-5309,in foster home,2021-05-24T03:16:42Z,2021-07-21 03:16:42 UTC
75,11-608-4176,ready for adoption,2022-02-10T09:46:10Z,2022-02-14 09:46:10 UTC
76,33-724-1902,adopted,2021-03-04T05:18:41Z,2021-05-13 05:18:41 UTC
77,00-877-3566,ready for adoption,2021-07-01T03:42:13Z,2021-08-10 03:42:13 UTC
78,32-280-5980,ready for adoption,2021-01-18T06:25:13Z,2021-01-24 06:25:13 UTC
79,34-572-7564,ready for adoption,2021-01-22T22:00:37Z,2021-04-19 22:00:37 UTC
80,12-738-2947,adopted,2021-12-27T07:28:30Z,2022-02-24 07:28:30 UTC
81,81-521-3860,in foster home,2021-10-17T04:18:13Z,2021-11-19 04:18:13 UTC
82,60-631-2993,in foster home,2021-07-17T16:06:05Z,2021-09-28 16:06:05 UTC
83,45-005-3933,ready for adoption,2021-07-26T00:28:50Z,2021-08-21 00:28:50 UTC
84,27-783-6128,adopted,2022-02-07T23:39:45Z,2022-04-09 23:39:45 UTC
85,29-177-8614,ready for adoption,2021-11-26T05:41:15Z,2022-01-27 05:41:15 UTC
86,74-576-7819,adopted,2021-06-13T20:33:13Z,2021-08-16 20:33:13 UTC
87,81-500-3190,adopted,2021-05-13T12:23:26Z,2021-08-14 12:23:26 UTC
88,74-608-8793,in quarantine,2021-10-26T02:55:42Z,2021-11-30 02:55:42 UTC
89,81-364-6639,ready for adoption,2021-07-14T22:19:16Z,2021-08-10 22:19:16 UTC
90,05-435-9372,ready for adoption,2021-03-25T15:02:23Z,2021-07-01 15:02:23 UTC
91,81-865-0725,ready for adoption,2021-01-06T02:21:15Z,2021-03-25 02:21:15 UTC
92,82-800-6336,adopted,2021-07-07T04:45:45Z,2021-08-06 04:45:45 UTC
93,84-948-1845,ready for adoption,2021-08-29T03:02:06Z,2021-09-13 03:02:06 UTC
94,72-718-3671,in foster home,2021-12-26T10:33:28Z,2022-02-28 10:33:28 UTC
95,62-579-2685,adopted,2021-10-23T02:44:44Z,2021-11-14 02:44:44 UTC
96,19-264-7987,ready for adoption,2021-05-24T20:22:42Z,2021-08-13 20:22:42 UTC
97,45-170-4485,in foster home,2022-01-03T22:01:40Z,2022-01-13 22:01:40 UTC
98,83-368-3514,in foster home,2022-02-26T12:41:11Z,2022-05-18 12:41:11 UTC
99,71-437-8759,ready for adoption,2021-01-11T01:41:58Z,2021-02-26 01:41:58 UTC
100,12-263-2286,adopted,2021-01-12T09:19:29Z,2021-04-21 09:19:29 UTC
101,12-481-9138,in foster home,2022-02-22T11:11:43Z,2022-03-24 11:11:43 UTC
102,58-219-1279,ready for adoption,2021-07-31T23:26:21Z,2021-09-30 23:26:21 UTC
103,32-088-9184,ready for adoption,2022-02-10T07:18:01Z,2022-05-09 07:18:01 UTC
104,27-134-6485,in quarantine,2021-01-27T10:04:55Z,2021-03-24 10:04:55 UTC
105,43-696-6033,ready for adoption,2021-09-24T13:53:59Z,2021-10-31 13:53:59 UTC
106,84-174-8955,in foster home,2022-02-12T12:10:44Z,2022-05-08 12:10:44 UTC
107,08-562-8556,ready for adoption,2021-08-31T23:14:17Z,2021-10-08 23:14:17 UTC
108,27-624-7168,ready for adoption,2021-06-13T05:44:15Z,2021-08-17 05:44:15 UTC
109,14-963-4882,adopted,2021-01-18T16:52:43Z,2021-03-18 16:52:43 UTC
110,82-324-6454,adopted,2021-05-23T03:07:59Z,2021-06-08 03:07:59 UTC
111,71-454-6377,adopted,2021-11-08T04:22:22Z,2022-02-01 04:22:22 UTC
112,79-277-7406,ready for adoption,2021-11-03T15:07:32Z,2022-01-04 15:07:32 UTC
113,59-387-3368,ready for adoption,2021-09-06T16:58:55Z,2021-12-06 16:58:55 UTC
114,93-860-3825,ready for adoption,2021-04-25T19:04:22Z,2021-05-31 19:04:22 UTC
115,55-913-1700,adopted,2021-07-14T14:13:49Z,2021-10-15 14:13:49 UTC
116,56-167-0830,ready for adoption,2021-08-23T09:15:15Z,2021-10-15 09:15:15 UTC
117,01-917-8694,in foster home,2021-05-28T23:20:01Z,2021-06-29 23:20:01 UTC
118,95-441-2230,ready for adoption,2021-08-01T14:23:11Z,2021-09-18 14:23:11 UTC
119,60-830-2965,adopted,2021-08-30T05:50:34Z,2021-09-09 05:50:34 UTC
120,49-738-1311,adopted,2021-06-17T18:50:49Z,2021-09-18 18:50:49 UTC
121,94-332-2980,adopted,2021-09-06T02:27:19Z,2021-09-25 02:27:19 UTC
122,88-577-5315,in foster home,2022-02-23T10:47:13Z,2022-04-21 10:47:13 UTC
123,57-700-2743,in foster home,2021-09-26T03:49:52Z,2021-11-09 03:49:52 UTC
124,98-823-5118,ready for adoption,2022-02-01T11:56:18Z,2022-03-12 11:56:18 UTC
125,77-908-1217,adopted,2022-02-18T02:00:35Z,2022-04-07 02:00:35 UTC
126,43-280-4691,in foster home,2022-01-25T14:16:31Z,2022-02-20 14:16:31 UTC
127,53-760-4943,ready for adoption,2021-12-15T14:27:46Z,2022-03-14 14:27:46 UTC
128,49-614-2823,in foster home,2021-07-24T04:45:45Z,2021-08-06 04:45:45 UTC
129,27-432-4272,adopted,2021-12-22T12:48:47Z,2022-03-03 12:48:47 UTC
130,08-983-9041,adopted,2021-12-11T03:18:08Z,2022-02-28 03:18:08 UTC
131,52-067-6879,adopted,2021-10-11T02:59:01Z,2021-12-29 02:59:01 UTC
132,46-411-7239,in foster home,2021-10-04T21:43:37Z,2021-12-05 21:43:37 UTC
133,22-684-4934,adopted,2021-05-07T01:22:20Z,2021-05-21 01:22:20 UTC
134,24-237-4704,in foster home,2021-01-28T06:09:05Z,2021-03-01 06:09:05 UTC
135,51-337-0516,adopted,2021-01-09T13:41:29Z,2021-01-30 13:41:29 UTC
136,88-400-0543,adopted,2021-06-20T23:10:49Z,2021-07-09 23:10:49 UTC
137,13-955-3642,in foster home,2021-06-11T22:56:11Z,2021-09-10 22:56:11 UTC
138,96-382-5342,adopted,2021-10-09T12:47:07Z,2021-12-07 12:47:07 UTC
139,08-896-0297,ready for adoption,2021-10-14T12:20:47Z,2021-12-07 12:20:47 UTC
140,87-192-3407,in foster home,2021-11-27T03:28:48Z,2022-02-03 03:28:48 UTC
141,83-258-2696,in quarantine,2021-10-19T23:24:05Z,2021-12-07 23:24:05 UTC
142,19-061-4681,adopted,2021-10-18T06:38:36Z,2021-12-13 06:38:36 UTC
143,75-650-7641,ready for adoption,2021-07-05T17:52:09Z,2021-09-13 17:52:09 UTC
144,08-589-0035,adopted,2021-03-24T12:01:58Z,2021-06-21 12:01:58 UTC
145,79-174-3361,ready for adoption,2021-04-05T17:16:43Z,2021-07-10 17:16:43 UTC
146,16-137-1698,adopted,2022-02-19T21:19:26Z,2022-03-04 21:19:26 UTC
147,43-309-6273,ready for adoption,2021-10-27T10:55:06Z,2022-01-18 10:55:06 UTC
148,58-020-6493,in quarantine,2021-08-28T10:11:28Z,2021-10-03 10:11:28 UTC
149,84-907-7363,adopted,2021-02-27T13:54:59Z,2021-03-10 13:54:59 UTC
150,41-694-2027,ready for adoption,2021-07-03T14:33:56Z,2021-09-06 14:33:56 UTC
151,83-527-0830,ready for adoption,2021-08-30T14:09:10Z,2021-10-30 14:09:10 UTC
152,53-147-4392,adopted,2022-02-03T20:54:10Z,2022-04-18 20:54:10 UTC
153,00-159-8604,ready for adoption,2021-04-13T13:40:00Z,2021-06-08 13:40:00 UTC
154,63-575-9401,in quarantine,2021-05-01T19:09:43Z,2021-07-12 19:09:43 UTC
155,79-800-5280,in quarantine,2022-01-25T19:52:51Z,2022-02-27 19:52:51 UTC
156,00-090-3976,in quarantine,2021-05-05T22:12:04Z,2021-06-21 22:12:04 UTC
157,84-254-2766,in quarantine,2021-07-19T22:51:55Z,2021-10-09 22:51:55 UTC
158,04-039-5321,in foster home,2021-07-16T16:01:11Z,2021-08-23 16:01:11 UTC
159,69-552-6980,ready for adoption,2021-09-23T21:03:55Z,2021-10-03 21:03:55 UTC
160,44-239-4940,adopted,2021-07-17T18:39:25Z,2021-08-02 18:39:25 UTC
161,85-207-4619,in foster home,2021-10-24T11:41:30Z,2021-11-15 11:41:30 UTC
162,79-307-2455,ready for adoption,2021-06-26T10:06:56Z,2021-09-30 10:06:56 UTC
163,03-938-8710,ready for adoption,2021-08-07T13:48:46Z,2021-10-11 13:48:46 UTC
164,18-819-0040,in foster home,2022-02-03T11:17:19Z,2022-05-11 11:17:19 UTC
165,91-298-7081,ready for adoption,2021-06-12T23:50:12Z,2021-06-16 23:50:12 UTC
166,38-828-3585,adopted,2022-01-18T04:55:22Z,2022-02-28 04:55:22 UTC
167,49-869-7381,ready for adoption,2021-07-08T02:54:04Z,2021-09-06 02:54:04 UTC
168,08-052-0304,in foster home,2021-05-18T01:42:28Z,2021-08-10 01:42:28 UTC
169,33-401-1470,ready for adoption,2021-02-21T03:13:37Z,2021-05-15 03:13:37 UTC
170,44-471-6980,in foster home,2021-07-01T12:56:33Z,2021-08-04 12:56:33 UTC
171,86-082-0049,adopted,2021-08-25T13:58:49Z,2021-09-05 13:58:49 UTC
172,58-944-8153,in foster home,2021-12-02T06:28:37Z,2022-01-23 06:28:37 UTC
173,01-614-4687,adopted,2021-01-21T23:45:57Z,2021-04-17 23:45:57 UTC
174,69-301-0926,adopted,2021-06-15T13:34:13Z,2021-07-14 13:34:13 UTC
175,79-675-0953,adopted,2021-06-10T04:23:57Z,2021-07-29 04:23:57 UTC
176,62-328-2056,ready for adoption,2021-01-06T01:29:18Z,2021-01-08 01:29:18 UTC
177,12-040-1989,ready for adoption,2021-05-20T09:09:08Z,2021-06-21 09:09:08 UTC
178,84-398-9651,adopted,2021-07-31T11:31:26Z,2021-09-30 11:31:26 UTC
179,66-408-5653,adopted,2021-03-01T20:44:12Z,2021-04-02 20:44:12 UTC
180,38-789-1534,in quarantine,2021-02-17T10:27:55Z,2021-04-25 10:27:55 UTC
181,50-308-4764,ready for adoption,2021-04-14T23:46:24Z,2021-05-07 23:46:24 UTC
182,14-322-3045,ready for adoption,2022-01-07T06:52:08Z,2022-03-17 06:52:08 UTC
183,64-510-6273,in foster home,2021-01-26T17:47:27Z,2021-03-20 17:47:27 UTC
184,97-059-7958,ready for adoption,2021-12-09T19:40:31Z,2022-02-18 19:40:31 UTC
185,72-271-2442,in quarantine,2022-01-28T19:58:56Z,2022-04-17 19:58:56 UTC
186,49-268-0155,adopted,2021-11-09T00:31:07Z,2021-12-13 00:31:07 UTC
187,25-460-5350,ready for adoption,2021-12-24T15:14:44Z,2022-01-30 15:14:44 UTC
188,45-656-3069,ready for adoption,2021-07-08T16:27:52Z,2021-08-20 16:27:52 UTC
189,62-719-9304,in foster home,2021-09-07T09:54:04Z,2021-09-28 09:54:04 UTC
190,73-425-9212,adopted,2021-05-18T15:43:05Z,2021-07-23 15:43:05 UTC
191,69-692-1914,in quarantine,2021-03-16T20:11:59Z,2021-06-06 20:11:59 UTC
192,55-406-0629,ready for adoption,2021-11-07T17:00:48Z,2021-12-06 17:00:48 UTC
193,88-849-3660,in foster home,2021-10-11T20:15:22Z,2021-11-13 20:15:22 UTC
194,91-151-2320,adopted,2021-08-02T02:31:51Z,2021-09-04 02:31:51 UTC
195,48-047-6363,in quarantine,2021-12-13T07:52:14Z,2022-01-03 07:52:14 UTC
196,40-775-2389,ready for adoption,2022-02-22T09:28:39Z,2022-03-16 09:28:39 UTC
197,61-010-9587,ready for adoption,2021-11-20T13:37:43Z,2022-02-16 13:37:43 UTC
198,01-015-2532,adopted,2022-02-24T16:41:33Z,2022-05-04 16:41:33 UTC
199,25-834-8154,ready for adoption,2021-09-22T12:08:59Z,2021-10-24 12:08:59 UTC
200,72-759-9840,ready for adoption,2021-03-31T17:01:11Z,2021-07-06 17:01:11 UTC
201,37-973-2661,in quarantine,2021-01-26T22:53:36Z,2021-02-10 22:53:36 UTC
202,67-762-7165,adopted,2021-09-15T01:27:50Z,2021-12-23 01:27:50 UTC
203,00-563-5220,ready for adoption,2021-12-18T17:30:17Z,2022-02-01 17:30:17 UTC
204,78-340-5454,in quarantine,2021-01-14T16:25:22Z,2021-03-31 16:25:22 UTC
205,99-945-2586,ready for adoption,2021-09-04T13:52:45Z,2021-10-27 13:52:45 UTC
206,83-525-2736,adopted,2022-02-13T22:30:52Z,2022-03-09 22:30:52 UTC
207,12-896-3159,ready for adoption,2021-06-30T20:29:29Z,2021-09-08 20:29:29 UTC
208,59-567-1718,adopted,2021-05-21T00:57:57Z,2021-07-18 00:57:57 UTC
209,67-381-0738,in foster home,2021-04-09T02:31:51Z,2021-06-20 02:31:51 UTC
210,82-947-9806,ready for adoption,2021-06-06T22:19:41Z,2021-08-28 22:19:41 UTC
211,86-404-0977,ready for adoption,2021-04-17T06:37:44Z,2021-04-19 06:37:44 UTC
212,25-186-8703,in foster home,2021-02-14T19:35:41Z,2021-03-09 19:35:41 UTC
213,96-400-5720,adopted,2022-02-10T13:27:57Z,2022-02-15 13:27:57 UTC
214,03-745-5168,adopted,2021-09-21T11:54:14Z,2021-11-06 11:54:14 UTC
215,78-661-9911,ready for adoption,2021-11-30T22:49:15Z,2022-02-01 22:49:15 UTC
216,93-212-8689,ready for adoption,2022-02-15T10:00:58Z,2022-03-18 10:00:58 UTC
217,58-817-7338,ready for adoption,2021-10-18T18:25:18Z,2021-11-09 18:25:18 UTC
218,22-210-3534,adopted,2021-06-20T16:31:57Z,2021-06-30 16:31:57 UTC
219,32-738-6828,adopted,2021-10-22T15:18:07Z,2021-11-07 15:18:07 UTC
220,25-769-6144,ready for adoption,2021-01-26T07:26:02Z,2021-03-28 07:26:02 UTC
221,01-524-3471,adopted,2021-09-17T18:10:17Z,2021-11-03 18:10:17 UTC
222,62-400-7257,in foster home,2021-09-05T20:02:10Z,2021-11-05 20:02:10 UTC
223,12-688-1890,adopted,2021-02-18T20:51:16Z,2021-04-13 20:51:16 UTC
224,59-217-4975,ready for adoption,2021-01-07T21:56:40Z,2021-04-11 21:56:40 UTC
225,77-816-5846,ready for adoption,2022-02-20T00:09:19Z,2022-02-23 00:09:19 UTC
226,15-702-1555,adopted,2021-06-28T20:20:14Z,2021-07-23 20:20:14 UTC
227,47-729-5718,adopted,2021-02-15T15:19:08Z,2021-03-18 15:19:08 UTC
228,20-030-5178,adopted,2021-11-14T09:05:47Z,2021-12-12 09:05:47 UTC
229,57-708-7254,adopted,2021-09-04T11:40:03Z,2021-10-21 11:40:03 UTC
230,30-240-6371,ready for adoption,2021-10-06T18:52:07Z,2021-10-29 18:52:07 UTC
231,61-804-2351,in foster home,2021-12-14T20:02:10Z,2021-12-15 20:02:10 UTC
232,16-507-2059,adopted,2021-04-28T00:50:30Z,2021-06-08 00:50:30 UTC
233,76-039-9316,adopted,2021-05-24T11:08:09Z,2021-06-15 11:08:09 UTC
234,31-791-6677,in quarantine,2021-01-14T00:29:42Z,2021-03-25 00:29:42 UTC
235,93-320-9066,ready for adoption,2021-06-23T20:20:14Z,2021-08-25 20:20:14 UTC
236,71-164-3475,adopted,2021-08-10T10:07:03Z,2021-08-15 10:07:03 UTC
237,36-494-7454,adopted,2021-11-17T17:48:21Z,2021-12-04 17:48:21 UTC
238,03-819-8440,ready for adoption,2021-11-06T02:53:40Z,2021-12-28 02:53:40 UTC
239,80-124-0101,adopted,2021-02-12T03:39:01Z,2021-05-09 03:39:01 UTC
240,22-780-8533,ready for adoption,2021-01-06T22:39:36Z,2021-02-22 22:39:36 UTC
241,32-574-4562,adopted,2021-01-19T04:20:31Z,2021-03-28 04:20:31 UTC
242,66-144-6357,adopted,2022-01-30T10:51:19Z,2022-04-26 10:51:19 UTC
243,90-765-8500,adopted,2022-02-17T21:20:55Z,2022-04-02 21:20:55 UTC
244,13-110-6972,ready for adoption,2021-12-26T12:21:14Z,2022-03-26 12:21:14 UTC
245,94-491-6941,ready for adoption,2021-08-08T20:46:02Z,2021-09-25 20:46:02 UTC
246,59-916-2292,adopted,2021-06-08T01:49:31Z,2021-07-14 01:49:31 UTC
247,45-992-8811,in quarantine,2021-08-18T01:56:47Z,2021-10-23 01:56:47 UTC
248,54-018-3216,in foster home,2022-01-30T05:53:59Z,2022-03-03 05:53:59 UTC
249,28-872-3142,in foster home,2021-02-19T18:39:23Z,2021-03-12 18:39:23 UTC
250,93-142-2274,adopted,2021-09-09T08:23:49Z,2021-10-13 08:23:49 UTC
251,67-067-7134,ready for adoption,2022-02-12T11:49:07Z,2022-02-18 11:49:07 UTC
252,89-259-8018,ready for adoption,2021-06-14T07:46:31Z,2021-09-09 07:46:31 UTC
253,32-347-9660,in foster home,2021-10-17T09:07:57Z,2021-10-21 09:07:57 UTC
254,16-344-7341,in foster home,2021-12-20T17:08:09Z,2022-03-20 17:08:09 UTC
255,88-411-6749,ready for adoption,2021-01-28T06:31:31Z,2021-02-13 06:31:31 UTC
256,47-598-6825,ready for adoption,2021-04-06T19:21:33Z,2021-05-22 19:21:33 UTC
257,22-699-7572,in foster home,2021-12-28T13:51:36Z,2022-01-08 13:51:36 UTC
258,77-166-7027,adopted,2021-05-09T06:25:41Z,2021-07-12 06:25:41 UTC
259,39-070-8533,in quarantine,2021-04-17T04:01:12Z,2021-07-02 04:01:12 UTC
260,94-209-8180,ready for adoption,2022-02-24T00:33:34Z,2022-05-08 00:33:34 UTC
261,28-020-3489,ready for adoption,2021-05-08T04:36:40Z,2021-05-25 04:36:40 UTC
262,79-437-2680,adopted,2021-08-31T04:07:19Z,2021-10-04 04:07:19 UTC
263,84-552-4972,in foster home,2022-01-31T06:36:29Z,2022-02-15 06:36:29 UTC
264,44-826-7991,in foster home,2021-03-05T03:00:57Z,2021-05-20 03:00:57 UTC
265,80-750-2606,in quarantine,2021-11-19T18:55:17Z,2022-01-24 18:55:17 UTC
266,66-023-8713,ready for adoption,2021-09-12T03:04:51Z,2021-10-26 03:04:51 UTC
267,82-258-9600,adopted,2021-02-13T04:33:04Z,2021-03-11 04:33:04 UTC
268,59-500-5815,adopted,2021-10-30T17:56:25Z,2022-01-03 17:56:25 UTC
269,16-094-3603,in foster home,2021-07-09T13:28:10Z,2021-09-20 13:28:10 UTC
270,65-191-2285,adopted,2022-02-15T19:56:51Z,2022-03-19 19:56:51 UTC
271,49-188-8019,in foster home,2022-01-12T11:27:44Z,2022-02-19 11:27:44 UTC
272,32-651-7162,ready for adoption,2021-12-03T23:54:24Z,2021-12-12 23:54:24 UTC
273,02-047-5199,adopted,2022-01-12T12:10:29Z,2022-01-28 12:10:29 UTC
274,79-035-4430,ready for adoption,2021-07-10T19:47:15Z,2021-10-05 19:47:15 UTC
275,99-153-8087,in foster home,2021-11-01T04:15:44Z,2021-11-23 04:15:44 UTC
276,87-984-7845,ready for adoption,2021-06-25T15:15:11Z,2021-09-02 15:15:11 UTC
277,63-463-8367,ready for adoption,2021-06-08T00:32:04Z,2021-07-22 00:32:04 UTC
278,54-296-4152,in foster home,2021-09-08T18:01:15Z,2021-12-05 18:01:15 UTC
279,20-910-7265,ready for adoption,2021-08-22T01:36:24Z,2021-11-04 01:36:24 UTC
280,51-634-7610,in foster home,2021-04-10T18:22:41Z,2021-05-06 18:22:41 UTC
281,33-133-8110,ready for adoption,2022-01-03T07:44:49Z,2022-04-05 07:44:49 UTC
282,47-497-3080,adopted,2022-02-10T01:53:51Z,2022-04-28 01:53:51 UTC
283,08-619-6625,adopted,2021-12-01T09:21:44Z,2022-02-20 09:21:44 UTC
284,10-421-6882,ready for adoption,2022-02-18T16:29:19Z,2022-04-10 16:29:19 UTC
285,72-982-0689,in quarantine,2021-12-01T03:09:04Z,2022-02-05 03:09:04 UTC
286,81-418-7327,ready for adoption,2021-02-10T04:52:45Z,2021-03-25 04:52:45 UTC
287,13-225-3662,ready for adoption,2021-05-02T20:00:48Z,2021-07-18 20:00:48 UTC
288,42-171-5703,adopted,2021-01-01T05:30:32Z,2021-04-08 05:30:32 UTC
289,97-997-2776,ready for adoption,2021-06-02T09:27:46Z,2021-08-31 09:27:46 UTC
290,84-014-5222,in quarantine,2021-07-26T02:27:39Z,2021-10-12 02:27:39 UTC
291,43-353-4208,ready for adoption,2021-07-06T21:06:26Z,2021-09-15 21:06:26 UTC
292,67-149-8247,adopted,2021-01-06T19:52:10Z,2021-03-05 19:52:10 UTC
293,74-117-6568,in foster home,2021-10-01T12:31:16Z,2021-11-16 12:31:16 UTC
294,48-897-2737,ready for adoption,2021-01-17T15:57:33Z,2021-04-07 15:57:33 UTC
295,28-832-2949,ready for adoption,2021-05-09T13:51:09Z,2021-07-31 13:51:09 UTC
296,02-061-7034,in foster home,2021-01-16T04:07:26Z,2021-04-13 04:07:26 UTC
297,29-946-4309,ready for adoption,2021-08-02T18:34:07Z,2021-09-19 18:34:07 UTC
298,35-480-9710,ready for adoption,2021-03-07T10:52:38Z,2021-03-26 10:52:38 UTC
299,97-706-0361,ready for adoption,2021-03-14T17:51:39Z,2021-04-12 17:51:39 UTC
300,58-507-8230,adopted,2021-08-11T14:42:29Z,2021-09-27 14:42:29 UTC
