pk,name,type,price,created_at,updated_at
45,data-warehouse,Supplements,60.4,2021-06-22 19:49:26,2021-06-23 19:49:26 UTC
46,secured line,Grooming,66.51,2021-12-24 23:03:26,2021-12-27 23:03:26 UTC
47,grid-enabled,Supplements,34.77,2021-05-29 23:00:31,2021-06-01 23:00:31 UTC
48,Graphic Interface,Medicine,27.69,2021-05-16 17:09:03,2021-05-19 17:09:03 UTC
49,directional,Equipment,35.25,2021-11-10 18:33:48,2021-11-13 18:33:48 UTC
50,multimedia,Grooming,65.0,2021-06-12 06:32:25,2021-06-13 06:32:25 UTC
51,Fully-configurable,Toys,43.24,2021-10-06 11:10:52,2021-10-09 11:10:52 UTC
52,Organic,Food,6.0,2021-03-16 06:52:54,2021-03-17 06:52:54 UTC
53,hardware,Equipment,50.12,2021-05-22 07:49:22,2021-05-23 07:49:22 UTC
54,Synergized,Supplements,8.43,2021-06-27 11:50:03,2021-06-29 11:50:03 UTC
55,Distributed,Housing,34.07,2021-04-05 09:53:24,2021-04-07 09:53:24 UTC
56,Balanced,Supplements,67.78,2021-07-01 21:01:42,2021-07-03 21:01:42 UTC
57,analyzer,Grooming,77.62,2022-02-25 01:49:33,2022-02-28 01:49:33 UTC
58,Down-sized,Grooming,14.79,2021-10-20 16:37:36,2021-10-23 16:37:36 UTC
59,encompassing,Toys,46.93,2022-01-03 15:59:36,2022-01-03 15:59:36 UTC
60,toolset,Snack,35.31,2022-02-06 20:45:51,2022-02-07 20:45:51 UTC
61,Future-proofed,Housing,34.55,2021-06-20 02:43:01,2021-06-20 02:43:01 UTC
62,bottom-line,Toys,68.78,2021-06-29 19:27:06,2021-07-02 19:27:06 UTC
63,Centralized,Equipment,32.56,2022-02-07 17:01:08,2022-02-08 17:01:08 UTC
64,4th generation,Equipment,9.76,2021-11-28 23:25:58,2021-11-28 23:25:58 UTC
65,Proactive,Equipment,74.53,2021-05-13 17:40:35,2021-05-13 17:40:35 UTC
66,middleware,Toys,9.87,2021-08-02 04:35:31,2021-08-04 04:35:31 UTC
67,Pre-emptive,Food,63.71,2021-08-16 04:40:55,2021-08-17 04:40:55 UTC
68,Decentralized,Housing,40.44,2021-08-15 18:20:25,2021-08-16 18:20:25 UTC
69,ability,Housing,43.82,2021-08-16 14:36:48,2021-08-19 14:36:48 UTC
70,capacity,Grooming,45.4,2021-10-27 03:08:56,2021-10-28 03:08:56 UTC
71,Compatible,Equipment,50.48,2021-06-18 12:35:26,2021-06-21 12:35:26 UTC
72,help-desk,Equipment,73.17,2021-05-30 14:27:07,2021-06-02 14:27:07 UTC
73,tertiary,Toys,64.57,2021-11-16 03:58:23,2021-11-18 03:58:23 UTC
74,Pre-emptive,Equipment,21.65,2021-04-11 03:10:01,2021-04-12 03:10:01 UTC
75,Compatible,Toys,70.07,2021-10-21 23:42:36,2021-10-24 23:42:36 UTC
76,flexibility,Grooming,25.14,2022-01-12 17:08:34,2022-01-14 17:08:34 UTC
77,upward-trending,Accessory,69.7,2021-10-18 07:15:00,2021-10-20 07:15:00 UTC
78,mobile,Equipment,34.54,2021-04-08 06:54:31,2021-04-11 06:54:31 UTC
79,Distributed,Snack,57.74,2021-07-24 05:33:44,2021-07-26 05:33:44 UTC
80,Integrated,Toys,48.03,2021-04-09 03:24:26,2021-04-09 03:24:26 UTC
81,dynamic,Equipment,78.17,2021-06-15 11:50:29,2021-06-18 11:50:29 UTC
82,empowering,Equipment,26.5,2021-09-01 11:35:07,2021-09-03 11:35:07 UTC
83,systemic,Medicine,26.28,2021-12-08 11:53:26,2021-12-08 11:53:26 UTC
84,firmware,Accessory,17.65,2021-10-02 19:58:56,2021-10-03 19:58:56 UTC
85,Business-focused,Snack,5.05,2022-01-19 06:38:07,2022-01-20 06:38:07 UTC
86,open system,Accessory,6.11,2022-03-10 22:03:36,2022-03-12 22:03:36 UTC
87,hub,Supplements,21.39,2021-08-03 01:07:51,2021-08-05 01:07:51 UTC
88,methodical,Equipment,57.58,2021-09-24 21:44:14,2021-09-26 21:44:14 UTC
89,5th generation,Housing,61.02,2021-04-27 20:27:45,2021-04-30 20:27:45 UTC
90,dynamic,Supplements,34.58,2021-08-10 03:32:07,2021-08-10 03:32:07 UTC
91,intangible,Medicine,17.82,2021-07-03 08:47:01,2021-07-03 08:47:01 UTC
92,Persevering,Medicine,66.62,2021-12-16 23:04:43,2021-12-17 23:04:43 UTC
93,client-server,Accessory,68.57,2021-04-01 13:16:52,2021-04-02 13:16:52 UTC
94,utilisation,Equipment,30.0,2021-10-31 23:48:10,2021-10-31 23:48:10 UTC
95,3rd generation,Equipment,58.69,2021-04-06 17:59:54,2021-04-08 17:59:54 UTC
96,foreground,Snack,26.63,2022-02-24 06:54:19,2022-02-25 06:54:19 UTC
97,User-centric,Food,17.93,2021-10-10 23:18:17,2021-10-13 23:18:17 UTC
98,Balanced,Toys,35.77,2021-11-14 12:52:58,2021-11-15 12:52:58 UTC
99,upward-trending,Food,59.15,2022-02-01 15:07:39,2022-02-04 15:07:39 UTC
100,zero defect,Supplements,43.77,2022-01-22 02:12:09,2022-01-23 02:12:09 UTC
101,Profit-focused,Toys,37.94,2021-03-24 14:31:36,2021-03-25 14:31:36 UTC
102,Grass-roots,Toys,69.89,2021-07-30 21:45:55,2021-07-31 21:45:55 UTC
103,multi-state,Bedding,11.85,2021-12-27 10:14:47,2021-12-29 10:14:47 UTC
104,Enhanced,Snack,26.41,2021-03-14 07:59:18,2021-03-16 07:59:18 UTC
105,open system,Housing,44.8,2021-04-22 07:05:00,2021-04-24 07:05:00 UTC
106,Digitized,Toys,9.64,2021-12-20 12:56:27,2021-12-20 12:56:27 UTC
107,uniform,Snack,50.86,2021-11-22 20:16:01,2021-11-23 20:16:01 UTC
108,fault-tolerant,Accessory,11.59,2021-08-26 17:01:34,2021-08-28 17:01:34 UTC
109,holistic,Snack,15.52,2021-07-18 16:39:33,2021-07-21 16:39:33 UTC
110,circuit,Equipment,63.17,2021-05-10 02:00:46,2021-05-13 02:00:46 UTC
111,Centralized,Equipment,28.49,2022-01-29 07:45:34,2022-02-01 07:45:34 UTC
112,Enterprise-wide,Medicine,1.94,2022-01-28 03:58:58,2022-01-28 03:58:58 UTC
113,24/7,Bedding,28.26,2021-11-11 01:27:34,2021-11-11 01:27:34 UTC
114,Compatible,Toys,44.67,2021-10-30 00:37:59,2021-10-31 00:37:59 UTC
115,Down-sized,Accessory,75.94,2021-04-22 21:39:08,2021-04-22 21:39:08 UTC
116,capacity,Medicine,12.02,2021-06-01 15:08:23,2021-06-01 15:08:23 UTC
117,firmware,Equipment,16.28,2021-05-26 07:30:06,2021-05-28 07:30:06 UTC
118,Synergized,Snack,67.16,2021-06-24 16:51:34,2021-06-25 16:51:34 UTC
119,hub,Snack,66.23,2021-06-13 09:21:05,2021-06-16 09:21:05 UTC
120,even-keeled,Grooming,53.46,2021-06-27 07:56:28,2021-06-27 07:56:28 UTC
121,didactic,Medicine,49.91,2022-02-07 07:50:46,2022-02-08 07:50:46 UTC
122,web-enabled,Food,58.35,2021-07-24 02:03:44,2021-07-25 02:03:44 UTC
123,Assimilated,Bedding,23.91,2021-12-01 19:33:14,2021-12-03 19:33:14 UTC
124,Configurable,Clothes,25.46,2021-09-22 19:01:54,2021-09-25 19:01:54 UTC
125,website,Accessory,67.07,2021-04-05 04:20:45,2021-04-05 04:20:45 UTC
126,hub,Bedding,71.46,2021-07-05 23:00:32,2021-07-06 23:00:32 UTC
127,throughput,Housing,5.82,2021-05-12 12:32:26,2021-05-15 12:32:26 UTC
128,4th generation,Snack,4.88,2021-04-12 19:15:35,2021-04-13 19:15:35 UTC
129,non-volatile,Toys,10.16,2021-05-20 09:06:18,2021-05-23 09:06:18 UTC
130,exuding,Food,51.87,2021-12-06 14:14:11,2021-12-06 14:14:11 UTC
131,Multi-layered,Clothes,47.63,2021-07-09 01:13:08,2021-07-11 01:13:08 UTC
132,Object-based,Medicine,46.74,2021-10-02 18:29:42,2021-10-04 18:29:42 UTC
133,Optional,Snack,71.6,2021-08-22 16:49:57,2021-08-22 16:49:57 UTC
134,User-friendly,Toys,64.48,2021-10-13 08:27:57,2021-10-15 08:27:57 UTC
135,content-based,Medicine,39.44,2021-12-16 06:21:40,2021-12-19 06:21:40 UTC
136,incremental,Snack,35.61,2021-06-28 22:52:05,2021-06-29 22:52:05 UTC
137,website,Equipment,78.08,2021-10-12 15:32:04,2021-10-13 15:32:04 UTC
138,Diverse,Equipment,5.51,2022-01-02 07:58:06,2022-01-02 07:58:06 UTC
139,hybrid,Grooming,35.41,2022-02-06 04:33:08,2022-02-09 04:33:08 UTC
140,concept,Supplements,62.47,2021-05-13 09:10:02,2021-05-15 09:10:02 UTC
141,Stand-alone,Snack,52.05,2021-11-27 01:45:43,2021-11-30 01:45:43 UTC
142,frame,Supplements,60.9,2021-08-25 16:55:44,2021-08-28 16:55:44 UTC
143,next generation,Supplements,72.25,2021-05-19 15:53:39,2021-05-20 15:53:39 UTC
144,empowering,Snack,76.19,2021-05-10 21:04:49,2021-05-10 21:04:49 UTC
145,utilisation,Toys,17.25,2021-05-11 06:16:40,2021-05-11 06:16:40 UTC
146,Up-sized,Housing,48.63,2022-01-09 04:13:07,2022-01-12 04:13:07 UTC
147,flexibility,Housing,13.1,2021-11-15 13:23:03,2021-11-18 13:23:03 UTC
148,Innovative,Toys,57.74,2021-07-26 08:12:31,2021-07-28 08:12:31 UTC
149,secondary,Toys,4.15,2022-01-06 00:08:09,2022-01-06 00:08:09 UTC
150,directional,Toys,57.09,2021-11-16 03:49:31,2021-11-17 03:49:31 UTC
151,installation,Medicine,66.97,2021-12-10 09:07:56,2021-12-13 09:07:56 UTC
152,orchestration,Food,34.9,2021-06-16 13:56:04,2021-06-17 13:56:04 UTC
153,zero administration,Equipment,2.19,2021-05-07 15:45:10,2021-05-10 15:45:10 UTC
154,Public-key,Snack,21.19,2021-05-05 17:22:28,2021-05-07 17:22:28 UTC
155,monitoring,Snack,20.18,2021-04-12 19:03:49,2021-04-15 19:03:49 UTC
156,Multi-tiered,Toys,2.14,2022-02-01 18:36:11,2022-02-01 18:36:11 UTC
157,Synergistic,Snack,77.54,2021-10-14 10:12:28,2021-10-16 10:12:28 UTC
158,context-sensitive,Toys,17.1,2022-01-19 14:25:05,2022-01-20 14:25:05 UTC
159,superstructure,Snack,11.88,2021-12-24 15:19:30,2021-12-26 15:19:30 UTC
160,asynchronous,Equipment,76.96,2021-07-13 14:26:49,2021-07-13 14:26:49 UTC
161,strategy,Equipment,77.51,2021-12-30 16:59:12,2022-01-01 16:59:12 UTC
162,Progressive,Equipment,6.05,2021-09-14 13:07:50,2021-09-14 13:07:50 UTC
163,dynamic,Medicine,5.87,2021-08-22 13:28:55,2021-08-22 13:28:55 UTC
164,initiative,Supplements,2.12,2021-08-07 22:30:32,2021-08-10 22:30:32 UTC
165,parallelism,Snack,74.77,2021-10-08 03:41:08,2021-10-11 03:41:08 UTC
166,circuit,Snack,33.89,2021-06-27 11:57:48,2021-06-27 11:57:48 UTC
167,groupware,Accessory,70.56,2021-07-18 10:49:30,2021-07-20 10:49:30 UTC
168,tangible,Medicine,36.09,2021-07-18 12:28:00,2021-07-18 12:28:00 UTC
169,Cross-platform,Toys,21.88,2021-04-17 19:31:39,2021-04-19 19:31:39 UTC
170,contingency,Accessory,76.82,2021-12-02 04:07:57,2021-12-04 04:07:57 UTC
171,orchestration,Toys,78.14,2021-06-08 07:33:48,2021-06-08 07:33:48 UTC
172,help-desk,Medicine,29.65,2021-09-26 01:44:32,2021-09-27 01:44:32 UTC
173,toolset,Snack,3.38,2021-12-07 21:37:14,2021-12-08 21:37:14 UTC
174,Devolved,Grooming,26.26,2021-05-04 10:59:45,2021-05-05 10:59:45 UTC
175,neutral,Food,26.25,2021-09-02 18:27:21,2021-09-05 18:27:21 UTC
176,Reactive,Medicine,69.59,2021-09-08 18:09:02,2021-09-09 18:09:02 UTC
177,Open-architected,Supplements,79.08,2021-03-14 21:29:46,2021-03-15 21:29:46 UTC
178,Self-enabling,Housing,9.76,2021-05-29 20:01:10,2021-05-29 20:01:10 UTC
179,leading edge,Accessory,41.16,2021-07-21 19:20:55,2021-07-23 19:20:55 UTC
180,Digitized,Food,44.91,2021-06-02 13:55:55,2021-06-04 13:55:55 UTC
181,eco-centric,Grooming,5.72,2021-04-21 01:19:18,2021-04-22 01:19:18 UTC
182,Inverse,Grooming,13.01,2021-07-18 18:25:54,2021-07-21 18:25:54 UTC
183,executive,Equipment,59.22,2021-06-12 22:05:29,2021-06-12 22:05:29 UTC
184,Horizontal,Supplements,75.89,2021-07-10 03:49:50,2021-07-10 03:49:50 UTC
185,Organized,Equipment,56.31,2022-02-24 18:15:46,2022-02-27 18:15:46 UTC
186,dedicated,Food,18.76,2021-08-02 13:36:59,2021-08-05 13:36:59 UTC
187,projection,Accessory,6.08,2021-03-22 09:52:10,2021-03-22 09:52:10 UTC
188,non-volatile,Equipment,72.42,2021-04-14 07:08:10,2021-04-14 07:08:10 UTC
189,interactive,Food,32.66,2021-05-20 18:12:11,2021-05-22 18:12:11 UTC
190,Profit-focused,Bedding,10.13,2022-01-23 05:20:26,2022-01-24 05:20:26 UTC
191,user-facing,Grooming,57.54,2021-12-25 04:40:01,2021-12-26 04:40:01 UTC
192,zero tolerance,Housing,72.79,2021-08-11 22:14:36,2021-08-11 22:14:36 UTC
193,Fully-configurable,Medicine,73.72,2021-09-17 14:31:48,2021-09-18 14:31:48 UTC
194,solution-oriented,Toys,69.06,2021-09-16 01:05:48,2021-09-17 01:05:48 UTC
195,Fully-configurable,Equipment,67.1,2021-05-13 04:57:45,2021-05-13 04:57:45 UTC
196,Total,Toys,24.25,2022-01-18 13:02:58,2022-01-20 13:02:58 UTC
197,open system,Toys,79.39,2022-02-21 01:23:27,2022-02-23 01:23:27 UTC
198,Sharable,Accessory,34.38,2021-05-21 05:29:29,2021-05-21 05:29:29 UTC
199,Cross-group,Grooming,17.09,2021-06-28 10:14:36,2021-06-28 10:14:36 UTC
200,product,Equipment,30.34,2021-07-21 02:35:37,2021-07-22 02:35:37 UTC
201,array,Snack,26.6,2021-06-05 05:16:36,2021-06-07 05:16:36 UTC
202,mobile,Toys,39.59,2021-06-30 05:03:28,2021-07-02 05:03:28 UTC
203,middleware,Toys,49.17,2022-01-27 22:31:21,2022-01-30 22:31:21 UTC
204,needs-based,Equipment,8.82,2021-05-30 06:39:10,2021-06-02 06:39:10 UTC
205,Streamlined,Accessory,68.42,2021-04-21 20:13:18,2021-04-22 20:13:18 UTC
206,Face to face,Equipment,27.7,2021-10-13 04:17:18,2021-10-14 04:17:18 UTC
207,Fully-configurable,Bedding,5.01,2021-04-27 08:24:37,2021-04-27 08:24:37 UTC
208,challenge,Clothes,18.56,2022-02-08 00:37:18,2022-02-10 00:37:18 UTC
209,Reduced,Equipment,71.58,2022-02-27 00:40:46,2022-03-01 00:40:46 UTC
210,mission-critical,Grooming,49.3,2021-03-18 23:39:22,2021-03-20 23:39:22 UTC
211,system engine,Supplements,78.49,2021-12-31 03:03:29,2022-01-03 03:03:29 UTC
212,Profit-focused,Snack,15.21,2021-04-19 03:08:25,2021-04-22 03:08:25 UTC
213,Multi-lateral,Medicine,56.14,2021-07-27 04:37:35,2021-07-30 04:37:35 UTC
214,context-sensitive,Food,75.45,2021-05-07 20:08:08,2021-05-07 20:08:08 UTC
215,Decentralized,Toys,45.71,2021-07-04 02:29:49,2021-07-07 02:29:49 UTC
216,User-friendly,Medicine,1.4,2022-02-20 16:50:41,2022-02-21 16:50:41 UTC
217,customer loyalty,Snack,40.28,2021-07-27 14:28:04,2021-07-29 14:28:04 UTC
218,even-keeled,Equipment,32.86,2021-08-29 06:37:00,2021-08-29 06:37:00 UTC
219,Configurable,Housing,53.99,2022-02-15 14:01:55,2022-02-16 14:01:55 UTC
220,leverage,Toys,65.5,2021-10-21 09:32:23,2021-10-24 09:32:23 UTC
221,24 hour,Grooming,13.62,2021-08-18 05:56:10,2021-08-18 05:56:10 UTC
222,Business-focused,Snack,65.56,2022-01-31 14:00:17,2022-02-01 14:00:17 UTC
223,hub,Toys,30.4,2022-02-06 02:51:56,2022-02-07 02:51:56 UTC
224,hybrid,Equipment,18.59,2021-09-29 07:45:12,2021-10-02 07:45:12 UTC
225,Customer-focused,Toys,64.65,2021-12-05 16:42:57,2021-12-05 16:42:57 UTC
226,architecture,Snack,68.37,2022-02-25 01:11:35,2022-02-25 01:11:35 UTC
227,discrete,Supplements,34.7,2021-12-24 03:32:23,2021-12-26 03:32:23 UTC
228,Organic,Housing,32.92,2021-12-27 00:30:09,2021-12-30 00:30:09 UTC
229,focus group,Snack,75.72,2021-11-12 11:51:14,2021-11-13 11:51:14 UTC
230,Front-line,Equipment,32.14,2021-10-08 09:02:07,2021-10-11 09:02:07 UTC
231,toolset,Supplements,61.06,2021-07-12 06:40:29,2021-07-14 06:40:29 UTC
232,definition,Accessory,32.38,2021-12-18 04:12:35,2021-12-18 04:12:35 UTC
233,Grass-roots,Grooming,26.49,2021-10-09 17:23:58,2021-10-09 17:23:58 UTC
234,eco-centric,Equipment,47.44,2021-12-01 15:57:24,2021-12-04 15:57:24 UTC
235,scalable,Equipment,67.89,2021-03-14 01:50:45,2021-03-15 01:50:45 UTC
236,Distributed,Clothes,12.67,2021-06-03 13:34:56,2021-06-06 13:34:56 UTC
237,Graphical User Interface,Equipment,13.72,2021-03-12 11:40:29,2021-03-13 11:40:29 UTC
238,regional,Clothes,49.53,2021-12-03 07:48:28,2021-12-03 07:48:28 UTC
239,fault-tolerant,Food,7.99,2021-05-15 06:51:24,2021-05-15 06:51:24 UTC
240,approach,Snack,64.22,2021-05-03 20:41:01,2021-05-05 20:41:01 UTC
241,analyzer,Clothes,3.69,2022-01-09 12:12:28,2022-01-12 12:12:28 UTC
242,Phased,Snack,74.92,2022-03-10 21:53:50,2022-03-13 21:53:50 UTC
243,high-level,Bedding,54.62,2021-10-18 00:47:40,2021-10-21 00:47:40 UTC
244,Distributed,Accessory,14.32,2021-10-11 00:14:25,2021-10-12 00:14:25 UTC
245,Adaptive,Toys,31.39,2021-05-03 11:45:34,2021-05-04 11:45:34 UTC
246,solution-oriented,Supplements,58.53,2022-01-05 22:46:14,2022-01-08 22:46:14 UTC
247,leading edge,Equipment,52.15,2021-11-19 16:11:57,2021-11-22 16:11:57 UTC
248,challenge,Toys,12.51,2022-02-07 09:52:41,2022-02-08 09:52:41 UTC
249,initiative,Housing,55.9,2021-07-27 15:34:39,2021-07-29 15:34:39 UTC
250,Advanced,Snack,36.95,2021-08-19 12:59:33,2021-08-22 12:59:33 UTC
251,transitional,Food,2.75,2022-03-01 17:26:59,2022-03-04 17:26:59 UTC
252,parallelism,Medicine,34.62,2021-09-26 02:42:23,2021-09-28 02:42:23 UTC
253,Polarised,Snack,7.95,2021-12-31 09:34:58,2021-12-31 09:34:58 UTC
254,Innovative,Equipment,58.4,2021-09-22 05:37:29,2021-09-24 05:37:29 UTC
255,Phased,Medicine,74.49,2021-12-17 04:58:02,2021-12-19 04:58:02 UTC
256,algorithm,Bedding,8.3,2021-09-16 00:12:19,2021-09-18 00:12:19 UTC
257,contingency,Toys,75.06,2021-11-10 07:39:51,2021-11-13 07:39:51 UTC
258,encompassing,Equipment,9.92,2022-01-30 04:29:11,2022-02-02 04:29:11 UTC
259,contingency,Medicine,11.6,2021-07-18 12:38:03,2021-07-20 12:38:03 UTC
260,model,Supplements,1.93,2021-04-25 04:02:19,2021-04-28 04:02:19 UTC
261,orchestration,Toys,24.96,2021-05-28 20:44:38,2021-05-30 20:44:38 UTC
262,protocol,Bedding,52.51,2021-03-21 11:31:18,2021-03-24 11:31:18 UTC
263,parallelism,Snack,48.03,2021-10-09 04:40:24,2021-10-10 04:40:24 UTC
264,uniform,Supplements,31.74,2021-09-05 09:07:31,2021-09-05 09:07:31 UTC
265,bifurcated,Equipment,74.49,2021-04-26 13:12:19,2021-04-27 13:12:19 UTC
266,support,Toys,69.1,2021-11-02 01:01:24,2021-11-04 01:01:24 UTC
267,Open-architected,Food,28.04,2021-05-27 17:19:30,2021-05-29 17:19:30 UTC
268,background,Equipment,70.69,2021-08-22 12:09:48,2021-08-25 12:09:48 UTC
269,value-added,Accessory,1.18,2021-10-04 03:48:29,2021-10-06 03:48:29 UTC
270,superstructure,Medicine,47.55,2021-04-28 23:38:08,2021-04-30 23:38:08 UTC
271,challenge,Bedding,44.37,2021-05-10 20:54:19,2021-05-13 20:54:19 UTC
272,intangible,Bedding,67.42,2021-07-27 17:09:12,2021-07-28 17:09:12 UTC
273,Realigned,Accessory,73.61,2021-12-19 08:28:10,2021-12-20 08:28:10 UTC
274,value-added,Toys,57.41,2021-08-03 05:51:09,2021-08-03 05:51:09 UTC
275,Customer-focused,Equipment,33.05,2021-08-14 16:23:26,2021-08-15 16:23:26 UTC
276,Optimized,Toys,61.48,2022-03-03 04:27:36,2022-03-06 04:27:36 UTC
277,full-range,Housing,37.2,2021-05-15 18:25:26,2021-05-16 18:25:26 UTC
278,regional,Toys,64.35,2021-09-14 15:32:52,2021-09-17 15:32:52 UTC
279,frame,Toys,73.87,2021-12-04 17:12:50,2021-12-05 17:12:50 UTC
280,Programmable,Snack,53.1,2021-05-15 04:04:40,2021-05-16 04:04:40 UTC
281,Graphical User Interface,Snack,62.49,2021-07-11 12:57:30,2021-07-14 12:57:30 UTC
282,full-range,Toys,48.78,2021-08-22 21:01:24,2021-08-22 21:01:24 UTC
283,impactful,Supplements,66.97,2021-10-11 02:49:03,2021-10-14 02:49:03 UTC
284,24/7,Clothes,27.42,2021-09-30 08:06:13,2021-10-01 08:06:13 UTC
285,toolset,Accessory,10.55,2021-04-08 09:49:09,2021-04-09 09:49:09 UTC
286,process improvement,Food,28.99,2022-02-16 22:40:00,2022-02-18 22:40:00 UTC
287,heuristic,Accessory,5.42,2021-12-03 06:34:12,2021-12-04 06:34:12 UTC
288,client-driven,Bedding,76.7,2021-10-31 00:05:41,2021-11-03 00:05:41 UTC
289,algorithm,Equipment,14.42,2022-01-25 08:38:18,2022-01-28 08:38:18 UTC
290,productivity,Equipment,52.88,2021-12-10 23:33:31,2021-12-11 23:33:31 UTC
291,analyzer,Toys,68.65,2021-12-01 15:24:52,2021-12-01 15:24:52 UTC
292,functionalities,Supplements,41.0,2021-09-01 07:07:18,2021-09-03 07:07:18 UTC
293,adapter,Snack,1.61,2021-04-28 17:17:27,2021-04-28 17:17:27 UTC
294,holistic,Supplements,45.99,2022-02-25 22:36:31,2022-02-25 22:36:31 UTC
295,concept,Equipment,16.64,2021-04-02 07:30:01,2021-04-02 07:30:01 UTC
296,Optimized,Grooming,50.74,2021-04-22 04:30:36,2021-04-24 04:30:36 UTC
297,pricing structure,Accessory,79.09,2021-07-11 13:37:30,2021-07-11 13:37:30 UTC
298,User-friendly,Snack,11.14,2021-10-25 00:53:58,2021-10-28 00:53:58 UTC
299,Re-contextualized,Toys,41.23,2021-08-06 14:23:18,2021-08-09 14:23:18 UTC
300,discrete,Supplements,35.01,2021-03-25 07:27:32,2021-03-26 07:27:32 UTC
301,Sharable,Toys,48.37,2022-01-07 20:50:17,2022-01-08 20:50:17 UTC
302,Upgradable,Snack,43.27,2021-05-13 14:02:07,2021-05-16 14:02:07 UTC
303,Advanced,Accessory,76.33,2021-10-22 17:10:07,2021-10-25 17:10:07 UTC
304,empowering,Food,78.26,2021-08-26 23:54:51,2021-08-26 23:54:51 UTC
305,success,Bedding,64.52,2022-02-05 09:54:08,2022-02-07 09:54:08 UTC
306,Balanced,Toys,7.77,2021-09-02 05:04:20,2021-09-05 05:04:20 UTC
307,client-driven,Equipment,56.74,2021-04-11 04:55:54,2021-04-12 04:55:54 UTC
