pk,purchase_fk,item_fk,quantity
519,2406,691,6
520,24056,777,15
521,5721,307,8
522,1277,283,5
523,10684,31,1
524,2756,416,5
525,7663,978,9
526,2420,183,1
527,2785,379,3
528,25043,286,5
529,21620,732,14
530,13075,365,15
531,11780,469,15
532,9300,263,2
533,5977,413,16
534,21192,88,5
535,11127,507,10
536,23028,852,1
537,6749,347,5
538,28162,711,2
539,21813,192,7
540,2254,908,5
541,15749,8,15
542,4197,94,15
543,27885,431,16
544,5313,526,9
545,5831,409,17
546,13101,856,2
547,1709,915,6
548,11566,38,3
549,25046,512,12
550,23618,180,11
551,17869,44,2
552,146,119,3
553,13520,35,2
554,3165,670,9
555,27721,344,9
556,11782,775,4
557,27467,96,14
558,25017,247,5
559,26672,773,13
560,20396,480,14
561,23076,964,2
562,6167,443,7
563,7712,453,11
564,7457,224,4
565,23829,677,17
566,16253,805,3
567,9203,566,3
568,10805,1003,12
569,3471,789,12
570,606,131,8
571,5947,316,9
572,13117,128,2
573,1680,293,6
574,3376,311,14
575,3628,629,15
576,20310,739,14
577,599,139,17
578,23858,27,17
579,373,647,1
580,6340,161,7
581,13966,302,6
582,15143,761,2
583,6278,459,15
584,14216,554,14
585,15304,190,4
586,21819,842,11
587,23563,312,11
588,19882,352,10
589,27335,861,5
590,17402,921,15
591,24822,936,13
592,6015,888,10
593,21660,550,2
594,14445,359,15
595,21910,126,3
596,2992,668,16
597,12892,923,5
598,12153,605,2
599,9253,87,9
600,22893,318,16
601,13731,62,16
602,27081,618,12
603,13541,58,12
604,7518,189,12
605,1879,940,16
606,11364,612,4
607,21043,575,13
608,12275,313,15
609,12498,15,1
610,16156,164,6
611,8816,771,17
612,2225,81,8
613,15795,906,17
614,13823,53,9
615,20006,285,10
616,2497,265,14
617,2009,909,13
618,8709,45,7
619,16507,632,1
620,12637,646,13
621,9216,941,11
622,17927,1025,1
623,16452,664,3
624,18546,967,10
625,22830,243,15
626,21344,380,13
627,18076,756,4
628,27818,579,3
629,28174,976,13
630,8275,225,11
631,5033,357,13
632,24920,228,3
633,18402,822,6
634,1718,47,13
635,9222,674,11
636,20272,1011,6
637,26306,67,10
638,18049,63,11
639,18496,386,10
640,14518,215,2
641,16935,679,14
642,13160,731,6
643,3674,885,6
644,6881,338,5
645,1285,79,1
646,12135,499,8
647,19563,361,8
648,953,360,17
649,6032,892,7
650,19803,559,3
651,16882,947,5
652,3552,18,11
653,13248,658,5
654,14738,456,14
655,23237,1024,3
656,25019,369,11
657,14349,997,1
658,27188,106,16
659,2546,568,13
660,12053,167,11
661,14007,389,1
662,20802,930,6
663,2718,956,1
664,24218,415,6
665,8215,439,2
666,4525,124,5
667,11126,698,9
668,5323,391,14
669,15854,802,2
670,134,42,5
671,12193,430,10
672,1596,402,3
673,4496,411,14
674,21638,817,4
675,1521,134,4
676,21891,86,11
677,27783,266,10
678,21979,403,12
679,21199,953,17
680,18833,330,1
681,365,925,5
682,921,383,3
683,22212,748,5
684,27993,787,11
685,1199,547,9
686,13307,981,10
687,8055,160,6
688,14572,116,8
689,10123,500,4
690,822,910,12
691,12547,441,14
692,9487,905,3
693,19089,495,10
694,13652,723,4
695,8085,902,1
696,12195,236,11
697,28214,779,2
698,19481,220,1
699,24490,211,13
700,9794,210,6
701,14319,120,14
702,19514,334,13
703,21475,367,1
704,5341,498,5
705,18756,933,5
706,23517,1017,2
707,10387,878,14
708,18375,735,13
709,18185,396,16
710,21953,610,13
711,9576,806,11
712,27190,758,16
713,19860,552,4
714,9562,609,8
715,11465,844,15
716,14597,337,12
717,10552,958,7
718,26972,622,4
719,4660,372,4
720,15419,591,3
721,20961,513,1
722,9109,260,15
723,19039,917,14
724,242,200,2
725,15736,693,6
726,18106,388,2
727,5413,504,1
728,13036,699,4
729,9984,1020,10
730,13191,825,12
731,16338,640,17
732,19873,858,10
733,18778,448,13
734,27838,951,10
735,4486,813,7
736,4995,657,4
737,3062,809,2
738,12473,803,3
739,18877,703,16
740,17187,530,10
741,18703,868,3
742,2191,671,15
743,15141,1021,8
744,27400,157,13
745,873,796,11
746,7134,444,14
747,13444,793,4
748,1946,195,2
749,4926,130,5
750,4957,244,4
751,26691,660,5
752,27142,332,16
753,2626,850,11
754,24051,255,7
755,25605,543,2
756,213,223,11
757,4652,292,1
758,8712,706,12
759,22630,511,15
760,24530,592,3
761,3760,926,13
762,13747,727,11
763,1434,560,10
764,3641,16,11
765,11950,744,2
766,11415,895,4
767,2350,111,8
768,15076,250,14
769,18668,799,7
770,21241,32,10
771,15752,426,8
772,4287,287,6
773,20728,582,14
774,4803,873,7
775,13638,955,5
776,21454,13,8
777,7584,893,1
778,20391,224,12
779,13147,247,13
780,19430,150,11
781,4754,398,11
782,704,988,17
783,27929,572,6
784,18901,805,2
785,3531,304,14
786,20422,840,4
787,470,44,6
788,8173,650,4
789,26136,736,8
790,26953,321,15
791,26407,260,16
792,7232,738,3
793,25705,791,6
794,25363,201,10
795,27023,301,2
796,20144,940,8
797,11311,162,4
798,2103,170,13
799,15064,717,9
800,8796,546,4
801,17896,550,4
802,1545,330,4
803,27576,662,8
804,21103,327,17
805,14316,735,5
806,23849,887,9
807,4581,468,15
808,8645,154,5
809,14675,451,10
810,26381,879,14
811,16737,466,11
812,2359,606,13
813,23096,943,3
814,27462,536,14
815,17368,48,13
816,22822,956,11
817,11320,249,6
818,19318,524,8
819,26783,812,10
820,24969,945,1
821,22139,322,6
822,17244,663,12
823,8572,585,16
824,3168,700,5
825,18934,1004,17
826,18059,392,14
827,19049,114,7
828,13065,395,1
829,20889,484,5
830,13069,673,2
831,24197,697,16
832,1157,363,9
833,3964,907,8
834,5045,105,17
835,15884,496,9
836,9565,320,6
837,15112,960,14
838,27562,478,6
839,24941,527,7
840,13972,287,10
841,24905,644,13
842,1241,643,14
843,15351,718,4
844,26746,442,2
845,7160,971,9
846,26041,820,9
847,3784,149,17
848,16493,90,2
849,15516,412,8
850,20911,680,10
851,11432,239,11
852,23534,626,11
853,19991,811,12
854,7022,204,14
855,25291,471,8
856,13586,238,4
857,15726,229,11
858,17682,600,12
859,9900,85,5
860,4411,612,11
861,6600,605,16
862,1284,499,12
863,26852,498,11
864,26857,632,15
865,9533,441,11
866,9458,523,8
867,22564,876,15
868,7112,676,8
869,21109,647,8
870,18212,121,13
871,6859,970,9
872,5796,790,16
873,1037,168,13
874,23992,954,9
875,22779,746,4
876,16245,761,6
877,26257,1008,2
878,3271,719,8
879,11957,595,1
880,4527,686,17
881,3719,446,3
882,10820,828,4
883,21479,382,10
884,9771,84,6
885,6747,431,8
886,14714,390,4
887,11476,9,10
888,12343,356,4
889,26485,886,16
890,7314,11,11
891,13336,786,12
892,22154,233,17
893,8087,771,6
894,7337,2,9
895,26963,70,4
896,11644,348,14
897,4698,711,16
898,21238,405,7
899,26892,414,12
900,17877,874,5
901,5742,485,8
902,11173,509,4
903,18030,63,12
904,25055,212,4
905,19343,368,3
906,8839,153,17
907,23249,530,1
908,14399,136,9
909,22402,225,6
910,13219,366,11
911,14361,221,3
912,17906,681,8
913,20073,164,2
914,21362,723,3
915,14167,635,2
916,17071,77,12
917,2670,713,9
918,450,67,6
919,20740,404,3
920,18866,831,3
921,4462,625,17
922,26249,343,17
923,20753,998,6
924,2782,827,11
925,10876,861,3
926,10227,589,3
927,17106,200,1
928,12408,226,7
929,13193,675,15
930,9651,901,13
931,20224,930,2
932,14810,323,7
933,27274,655,5
934,1986,668,16
935,12352,593,14
936,16937,1009,17
937,13693,30,1
938,13736,210,10
939,20580,129,16
940,8859,253,2
941,24958,156,5
942,27258,661,3
943,28101,609,2
944,21222,522,7
945,14109,174,17
946,9362,309,7
947,20218,295,5
948,23511,854,16
949,10817,511,8
950,8189,619,4
951,7886,261,5
952,6285,207,12
953,26610,666,1
954,2844,111,16
955,27458,74,8
956,26897,352,7
957,3258,231,17
958,4133,449,3
959,9669,131,11
960,25763,979,5
961,1992,495,9
962,19408,480,9
963,9515,169,12
964,9892,843,5
965,5318,460,6
966,17431,216,6
967,24363,737,6
968,26779,326,9
969,3989,754,17
970,8926,834,1
971,11709,968,17
972,15408,402,10
973,8102,660,7
974,9044,58,17
975,14056,187,2
976,19638,175,2
977,2432,557,3
978,10625,462,11
979,9091,941,5
980,24867,616,17
981,1994,701,17
982,27495,898,1
983,2555,365,7
984,6709,839,3
985,10737,303,9
986,25327,240,11
987,10885,163,15
988,24984,94,9
989,27243,846,7
990,8082,18,8
991,4920,109,6
992,11603,651,11
993,23674,729,8
994,4624,139,12
995,25010,469,9
996,13877,957,3
997,6094,182,3
998,14087,513,6
999,26198,259,16
1000,5095,731,1
1001,14461,432,5
1002,28145,418,9
1003,12253,576,12
1004,4175,79,9
1005,19052,856,3
1006,3008,101,9
1007,14932,921,16
1008,12326,999,10
1009,3158,528,16
1010,6936,241,3
1011,26855,275,5
1012,24235,564,7
1013,6232,785,13
1014,5957,12,7
1015,22895,88,10
1016,9504,912,10
1017,4018,939,3
1018,27348,782,9
1019,12519,775,15
1020,7695,181,11
1021,8215,967,9
1022,154,646,4
1023,7012,223,1
1024,3512,228,12
1025,23439,420,17
1026,1376,430,5
1027,2481,636,11
1028,8353,835,9
1029,24162,581,3
1030,23800,437,13
1031,25800,698,9
1032,6578,6,15
1033,20193,649,8
1034,17954,627,5
1035,21882,307,16
1036,20277,780,15
1037,17135,570,15
1038,27716,436,3
1039,25494,769,15
1040,11445,87,1
1041,26335,871,6
1042,1293,667,15
1043,23544,878,8
1044,2694,544,16
1045,7345,258,12
1046,22595,983,6
1047,16340,682,12
1048,3107,760,8
1049,2107,358,2
1050,7125,208,17
1051,23364,493,3
1052,27840,122,5
1053,5223,230,3
1054,12295,548,6
1055,26487,1013,3
1056,25872,140,5
1057,1947,529,10
1058,8400,293,16
1059,5012,244,8
1060,15952,797,13
1061,19447,562,9
1062,21539,961,3
1063,9713,906,9
1064,13502,25,15
1065,18635,809,17
1066,7815,95,14
1067,3911,118,1
1068,27526,93,7
1069,25417,346,13
1070,8855,445,6
1071,9120,3,7
1072,20810,50,4
1073,21265,435,12
1074,11848,399,8
1075,12353,340,16
1076,5922,413,17
1077,19394,766,7
1078,15177,160,2
1079,747,429,13
1080,16969,166,11
1081,10545,426,15
1082,402,608,12
1083,4376,33,5
1084,24160,559,12
1085,17027,792,15
1086,17404,949,1
1087,10569,702,1
1088,26289,808,11
1089,10014,243,11
1090,16888,995,11
1091,8887,52,12
1092,7161,770,12
1093,23241,1005,8
1094,1900,645,13
1095,10631,1003,11
1096,27655,370,10
1097,27312,741,6
1098,21273,807,17
1099,23745,126,5
1100,18595,31,12
1101,25919,302,11
1102,13055,969,9
1103,6325,601,14
1104,2220,489,17
1105,542,935,17
1106,13806,656,6
1107,12300,720,5
1108,18971,250,14
1109,10270,433,16
1110,18896,438,10
1111,2475,918,17
1112,16191,130,17
1113,22497,973,16
1114,7059,215,15
1115,16455,603,7
1116,22961,845,6
1117,18257,714,2
1118,5411,758,16
1119,14391,628,16
1120,9032,143,16
1121,7562,829,6
1122,17445,21,9
1123,1390,425,8
1124,23079,68,13
1125,17222,953,9
1126,15931,389,5
1127,11977,394,6
1128,8172,934,10
1129,19285,264,3
1130,14126,317,11
1131,27992,864,12
1132,10103,1024,12
1133,18474,709,3
1134,6202,408,17
1135,4106,393,16
1136,22813,152,10
1137,9147,847,10
1138,11467,1021,14
1139,24000,40,4
1140,20303,7,4
1141,1935,54,13
1142,19009,252,9
1143,13263,407,15
1144,11933,473,9
1145,24975,278,6
1146,3987,374,5
1147,8802,641,1
1148,11110,353,14
1149,18593,938,2
1150,13866,884,9
1151,7066,29,1
1152,8890,561,8
1153,5434,254,1
1154,19443,558,6
1155,17402,629,10
1156,8099,107,12
1157,11503,491,1
1158,17948,592,3
1159,18304,386,12
1160,8724,355,17
1161,16426,440,15
1162,8705,490,14
1163,20704,515,17
1164,16243,502,11
1165,5043,882,5
1166,16526,337,9
1167,3823,157,8
1168,3782,428,6
1169,17080,127,14
1170,16511,541,10
1171,18776,342,17
1172,22852,330,16
1173,3860,134,15
1174,20429,466,10
1175,18588,314,5
1176,3433,582,10
1177,13061,159,17
1178,22378,702,8
1179,10439,104,17
1180,10285,341,1
1181,21587,561,13
1182,20444,188,7
1183,19477,965,12
1184,2723,401,15
1185,8457,1014,7
1186,27172,813,10
1187,5331,966,12
1188,27339,35,11
1189,21077,827,12
1190,18481,502,1
1191,3692,432,17
1192,4935,513,11
1193,17069,779,14
1194,12349,505,9
1195,124,435,10
1196,7024,772,16
1197,7236,88,5
1198,15003,751,8
1199,16026,595,9
1200,22286,452,2
1201,23812,108,10
1202,9848,200,4
1203,2914,340,14
1204,12658,193,13
1205,20230,768,2
1206,18053,472,15
1207,10845,175,6
1208,17657,492,1
1209,13950,6,4
1210,23557,892,12
1211,25746,877,3
1212,8268,27,9
1213,2676,573,7
1214,27611,327,5
1215,17974,909,2
1216,13818,102,14
1217,25486,742,8
1218,16538,785,13
1219,7619,578,12
1220,6624,181,13
1221,25186,133,4
1222,22494,937,4
1223,8933,592,5
1224,9405,633,1
1225,7998,907,15
1226,17202,955,3
1227,14329,962,7
1228,2817,343,8
1229,6873,95,6
1230,18043,155,12
1231,16780,613,8
1232,23444,710,7
1233,2227,865,17
1234,27329,774,5
1235,10565,598,16
1236,9742,629,15
1237,970,928,2
1238,24110,998,4
1239,3687,572,15
1240,16447,818,4
1241,8867,927,10
1242,20088,10,8
1243,19030,149,15
1244,13487,404,12
1245,9836,906,11
1246,20633,390,16
1247,13434,667,9
1248,11782,82,9
1249,23467,195,12
1250,12001,1021,12
1251,8607,793,3
1252,24641,707,15
1253,4947,458,9
1254,22342,939,9
1255,23283,8,9
1256,14421,942,12
1257,4701,635,16
1258,23108,29,10
1259,10318,698,14
1260,5394,434,1
1261,13863,816,10
1262,26799,226,6
1263,23200,457,3
1264,11711,235,5
1265,24830,1028,6
1266,8125,672,11
1267,13270,960,7
1268,10726,814,1
1269,23892,9,5
1270,17017,1023,10
1271,1926,714,5
1272,25332,809,3
1273,25354,132,4
1274,14922,355,17
1275,253,480,7
1276,19568,626,14
1277,18137,441,5
1278,26963,516,5
1279,7929,215,12
1280,10143,924,16
1281,17587,465,15
1282,27201,1020,12
1283,26803,914,4
1284,4787,219,17
1285,3088,529,8
1286,3523,302,10
1287,7874,199,11
1288,18023,147,15
1289,17914,579,2
1290,22137,835,14
1291,16789,475,3
1292,1962,426,7
1293,24812,310,5
1294,1407,591,8
1295,7022,669,6
1296,1156,648,16
1297,22471,115,10
1298,5197,637,17
1299,16867,258,2
1300,5812,197,13
1301,20869,810,14
1302,22733,391,9
1303,24104,623,11
1304,4031,507,14
1305,2577,116,12
1306,10460,744,1
1307,18767,366,6
1308,9951,207,5
1309,14684,170,4
1310,7422,844,9
1311,10579,176,11
1312,22397,782,14
1313,18799,764,7
1314,18615,624,17
1315,15622,670,16
1316,12146,169,16
1317,7901,117,14
1318,12875,976,8
1319,15778,392,2
1320,18552,867,2
1321,22823,864,12
1322,15620,493,16
1323,8518,674,9
1324,4916,299,9
1325,24970,722,3
1326,6615,400,15
1327,16458,750,10
1328,1952,689,8
1329,11719,184,7
1330,994,735,3
1331,15375,912,13
1332,7013,600,5
1333,4924,661,11
1334,19542,863,14
1335,10823,345,6
1336,9171,163,1
1337,15280,344,9
1338,493,859,4
1339,19018,575,2
1340,13258,2,4
1341,16418,899,3
1342,11068,711,10
1343,28038,65,16
1344,12195,277,9
1345,14706,994,13
1346,23968,503,1
1347,27384,231,14
1348,6118,293,15
1349,5762,360,13
1350,2518,273,13
1351,1996,853,2
1352,7039,693,7
1353,16699,383,11
1354,23425,359,10
1355,25843,7,9
1356,1574,322,6
1357,21636,643,7
1358,24744,92,4
1359,13853,901,14
1360,4531,353,9
1361,2061,143,4
1362,4069,308,15
1363,18050,771,15
1364,13422,997,10
1365,20913,547,2
1366,10030,896,16
1367,11268,397,5
1368,10537,111,9
1369,832,229,3
1370,22459,700,6
1371,11626,131,4
1372,19377,566,2
1373,1064,204,4
1374,1171,137,3
1375,24515,294,16
1376,2063,632,2
1377,4017,315,6
1378,5775,379,3
1379,13063,151,1
1380,12478,715,4
1381,18803,762,6
1382,21309,857,7
1383,9022,342,12
1384,10668,62,5
1385,1951,495,17
1386,10140,26,6
1387,5873,94,17
1388,11384,660,11
1389,16139,923,4
1390,18024,373,5
1391,1665,602,17
1392,14720,500,6
1393,24179,952,8
1394,16254,898,14
1395,14896,350,4
1396,7786,815,5
1397,15355,607,8
1398,16345,796,12
1399,6950,440,13
1400,4261,148,15
1401,17604,727,11
1402,1228,206,14
1403,9114,86,16
1404,6048,287,4
1405,17008,950,5
1406,1508,78,5
1407,15091,364,2
1408,14861,915,13
1409,19572,819,14
1410,22695,964,1
1411,3871,124,2
1412,5901,240,13
1413,911,692,13
1414,16180,425,2
1415,25308,50,2
1416,5988,713,3
1417,9919,974,16
1418,16982,346,17
1419,9063,319,6
1420,10146,540,4
1421,9216,843,9
1422,17433,824,17
1423,14696,47,5
1424,15541,640,4
1425,25597,544,15
1426,13915,386,10
1427,22634,331,6
1428,15025,515,12
1429,8965,728,16
1430,7641,712,7
1431,18424,842,2
1432,11370,981,12
1433,24582,75,1
1434,20247,752,6
1435,5536,25,13
1436,7249,788,15
1437,16978,795,14
1438,6606,39,5
1439,7672,38,10
1440,4178,758,4
1441,16767,241,15
1442,10817,43,5
1443,25544,192,7
1444,25751,1000,14
1445,19839,238,10
1446,10182,427,15
1447,16022,99,13
1448,16703,957,3
1449,9876,798,16
1450,7394,615,14
1451,10229,590,3
1452,7036,469,3
1453,14478,931,10
1454,2031,14,11
1455,4404,556,14
1456,4412,36,7
1457,6032,628,8
1458,6227,300,14
1459,23075,28,9
1460,6738,4,15
1461,22867,850,17
1462,12983,487,13
1463,20720,179,3
1464,9035,801,3
1465,7333,1025,11
1466,1513,205,13
1467,6168,606,7
1468,6059,680,16
1469,24815,37,11
1470,14574,212,1
1471,26622,688,3
1472,13944,393,17
1473,11320,562,8
1474,14056,83,6
1475,8843,651,14
1476,8395,161,8
1477,25709,489,8
1478,15320,596,8
1479,4348,144,3
1480,5772,375,2
1481,4915,194,1
1482,1832,185,15
1483,8571,536,9
1484,1369,817,12
1485,19758,870,3
1486,3075,721,4
1487,9091,413,4
1488,14249,1019,1
1489,17585,679,7
1490,25383,321,16
1491,1046,311,10
1492,24136,882,3
1493,26784,514,8
1494,13266,663,3
1495,18400,136,14
1496,13854,307,15
1497,22123,849,13
